calendar_month,time,daytime_temperature,daytime_temperature_p10,daytime_temperature_p90,daylight_hours_sampled
1,Jan,6.96,1.5,12.38,317
2,Feb,9.07,1.94,16.1,308
3,Mar,11.46,6.0,16.67,364
4,Apr,17.44,12.47,22.33,398
5,May,22.23,15.7,28.67,434
6,Jun,22.51,18.5,26.41,430
7,Jul,29.27,23.2,35.8,442
8,Aug,28.54,23.5,33.83,418
9,Sep,24.37,20.4,29.5,223
