calendar_month,time,daytime_temperature,daytime_temperature_p10,daytime_temperature_p90,daylight_hours_sampled
1,Jan,0.67,-8.2,9.05,306
2,Feb,2.31,-6.84,10.76,295
3,Mar,12.09,2.05,22.35,376
4,Apr,18.14,9.6,28.2,391
5,May,19.82,12.4,28.42,455
6,Jun,25.97,20.49,31.5,450
7,Jul,27.87,22.4,34.47,454
8,Aug,26.85,22.4,30.8,419
9,Sep,26.83,22.15,31.2,156
