calendar_month,time,daytime_temperature,daytime_temperature_p10,daytime_temperature_p90,daylight_hours_sampled
1,Jan,-6.24,-13.98,3.36,293
2,Feb,-1.36,-9.03,5.6,300
3,Mar,6.78,-2.6,18.7,366
4,Apr,12.68,3.9,21.42,409
5,May,15.92,8.0,24.6,440
6,Jun,22.4,16.4,28.5,471
7,Jul,25.96,20.3,31.4,460
8,Aug,23.6,18.7,28.2,434
9,Sep,22.34,16.55,27.45,246
