calendar_month,time,daytime_temperature,daytime_temperature_p10,daytime_temperature_p90,daylight_hours_sampled
1,Jan,10.53,7.11,13.8,292
2,Feb,12.6,9.2,15.3,294
3,Mar,14.08,9.66,17.64,367
4,Apr,17.9,14.29,21.2,410
5,May,21.29,16.59,27.5,450
6,Jun,26.32,21.19,32.3,480
7,Jul,29.15,25.81,31.69,472
8,Aug,28.88,24.6,32.67,434
9,Sep,26.28,23.0,29.0,261
