date,precipitation_sum,accumulated_precipitation
2026-01-01,0.0,0.0
2026-01-02,0.0,0.0
2026-01-03,1.1,1.1
2026-01-04,0.0,1.1
2026-01-05,0.0,1.1
2026-01-06,0.0,1.1
2026-01-07,0.2,1.3
2026-01-08,0.2,1.5
2026-01-09,0.0,1.5
2026-01-10,0.1,1.6
2026-01-11,0.0,1.6
2026-01-12,0.0,1.6
2026-01-13,0.0,1.6
2026-01-14,0.0,1.6
2026-01-15,0.0,1.6
2026-01-16,0.0,1.6
2026-01-17,0.2,1.8
2026-01-18,0.7,2.5
2026-01-19,0.3,2.8
2026-01-20,0.0,2.8
2026-01-21,0.0,2.8
2026-01-22,0.0,2.8
2026-01-23,0.0,2.8
2026-01-24,0.0,2.8
2026-01-25,0.0,2.8
2026-01-26,0.0,2.8
2026-01-27,0.0,2.8
2026-01-28,0.0,2.8
2026-01-29,0.0,2.8
2026-01-30,0.0,2.8
2026-01-31,0.7,3.5
2026-02-01,3.0,6.5
2026-02-02,1.5,8.0
2026-02-03,0.0,8.0
2026-02-04,0.0,8.0
2026-02-05,1.1,9.1
2026-02-06,2.1,11.2
2026-02-07,0.0,11.2
2026-02-08,0.0,11.2
2026-02-09,0.0,11.2
2026-02-10,1.7,12.9
2026-02-11,0.0,12.9
2026-02-12,0.1,13.0
2026-02-13,0.0,13.0
2026-02-14,0.0,13.0
2026-02-15,2.1,15.1
2026-02-16,1.7,16.8
2026-02-17,0.0,16.8
2026-02-18,0.4,17.2
2026-02-19,2.1,19.3
2026-02-20,4.4,23.7
2026-02-21,2.8,26.5
2026-02-22,0.4,26.9
2026-02-23,0.1,27.0
2026-02-24,0.1,27.1
2026-02-25,0.2,27.3
2026-02-26,0.0,27.3
2026-02-27,0.8,28.1
2026-02-28,0.0,28.1
2026-03-01,0.0,28.1
2026-03-02,0.0,28.1
2026-03-03,0.0,28.1
2026-03-04,0.3,28.4
2026-03-05,5.1,33.5
2026-03-06,0.4,33.9
2026-03-07,0.0,33.9
2026-03-08,0.0,33.9
2026-03-09,0.1,34.0
2026-03-10,0.9,34.9
2026-03-11,0.1,35.0
2026-03-12,0.0,35.0
2026-03-13,0.0,35.0
2026-03-14,0.0,35.0
2026-03-15,0.0,35.0
2026-03-16,0.0,35.0
2026-03-17,0.2,35.2
2026-03-18,0.3,35.5
2026-03-19,2.0,37.5
2026-03-20,0.0,37.5
2026-03-21,0.2,37.7
2026-03-22,0.7,38.4
2026-03-23,0.0,38.4
2026-03-24,0.1,38.5
2026-03-25,1.3,39.8
2026-03-26,2.2,42.0
2026-03-27,1.3,43.3
2026-03-28,0.5,43.8
2026-03-29,0.5,44.3
2026-03-30,6.1,50.4
2026-03-31,1.8,52.2
2026-04-01,10.4,62.6
2026-04-02,16.6,79.2
2026-04-03,7.8,87.0
2026-04-04,6.3,93.3
2026-04-05,1.9,95.2
2026-04-06,0.2,95.4
2026-04-07,0.7,96.1
2026-04-08,0.8,96.9
2026-04-09,0.1,97.0
2026-04-10,0.3,97.3
2026-04-11,2.0,99.3
2026-04-12,0.2,99.5
2026-04-13,0.0,99.5
2026-04-14,0.0,99.5
2026-04-15,0.0,99.5
2026-04-16,0.0,99.5
2026-04-17,0.0,99.5
2026-04-18,0.0,99.5
2026-04-19,0.1,99.6
2026-04-20,2.0,101.6
2026-04-21,0.4,102.0
2026-04-22,3.9,105.9
2026-04-23,0.8,106.7
2026-04-24,5.8,112.5
2026-04-25,2.9,115.4
2026-04-26,6.1,121.5
2026-04-27,5.1,126.6
2026-04-28,0.2,126.8
2026-04-29,0.1,126.9
2026-04-30,1.6,128.5
2026-05-01,12.5,141.0
2026-05-02,23.6,164.6
2026-05-03,8.4,173.0
2026-05-04,14.7,187.7
2026-05-05,8.4,196.1
2026-05-06,3.1,199.2
2026-05-07,3.8,203.0
2026-05-08,0.5,203.5
2026-05-09,0.0,203.5
2026-05-10,0.0,203.5
2026-05-11,1.2,204.7
2026-05-12,2.3,207.0
2026-05-13,1.4,208.4
2026-05-14,2.8,211.2
2026-05-15,4.8,216.0
2026-05-16,7.5,223.5
2026-05-17,1.5,225.0
2026-05-18,1.5,226.5
2026-05-19,2.5,229.0
2026-05-20,2.6,231.6
2026-05-21,4.8,236.4
2026-05-22,2.9,239.3
2026-05-23,2.2,241.5
2026-05-24,1.6,243.1
2026-05-25,0.3,243.4
2026-05-26,1.4,244.8
2026-05-27,3.6,248.4
2026-05-28,17.8,266.2
2026-05-29,6.1,272.3
2026-05-30,7.3,279.6
