date,daytime_temperature,daylight_hours_sampled
2026-01-01,10.04,9
2026-01-02,10.53,9
2026-01-03,9.67,9
2026-01-04,10.1,9
2026-01-05,8.83,9
2026-01-06,8.72,9
2026-01-07,7.12,9
2026-01-08,8.09,9
2026-01-09,12.7,9
2026-01-10,10.81,9
2026-01-11,11.18,9
2026-01-12,10.02,9
2026-01-13,13.23,9
2026-01-14,12.46,9
2026-01-15,12.76,9
2026-01-16,13.24,9
2026-01-17,12.48,9
2026-01-18,13.93,9
2026-01-19,12.62,10
2026-01-20,13.05,10
2026-01-21,9.83,10
2026-01-22,8.69,10
2026-01-23,9.81,10
2026-01-24,10.72,10
2026-01-25,8.95,10
2026-01-26,9.92,10
2026-01-27,7.4,10
2026-01-28,9.27,10
2026-01-29,9.93,10
2026-01-30,10.23,10
2026-01-31,10.69,10
2026-02-01,10.88,10
2026-02-02,9.44,10
2026-02-03,10.66,10
2026-02-04,10.57,10
2026-02-05,10.46,10
2026-02-06,12.61,10
2026-02-07,11.01,10
2026-02-08,10.11,10
2026-02-09,12.32,10
2026-02-10,11.41,10
2026-02-11,15.05,10
2026-02-12,14.94,10
2026-02-13,12.43,10
2026-02-14,12.17,10
2026-02-15,12.37,11
2026-02-16,13.77,11
2026-02-17,13.75,11
2026-02-18,11.42,11
2026-02-19,13.4,11
2026-02-20,15.33,11
2026-02-21,13.85,11
2026-02-22,12.91,11
2026-02-23,13.35,11
2026-02-24,13.11,11
2026-02-25,13.84,11
2026-02-26,14.07,11
2026-02-27,13.22,11
2026-02-28,13.18,11
2026-03-01,13.44,11
2026-03-02,13.55,11
2026-03-03,14.61,11
2026-03-04,15.74,11
2026-03-05,17.19,11
2026-03-06,16.68,12
2026-03-07,15.35,12
2026-03-08,14.53,12
2026-03-09,14.81,12
2026-03-10,12.51,12
2026-03-11,13.11,12
2026-03-12,13.58,12
2026-03-13,13.82,12
2026-03-14,10.8,12
2026-03-15,14.08,12
2026-03-16,14.99,12
2026-03-17,15.74,12
2026-03-18,11.87,12
2026-03-19,14.2,12
2026-03-20,13.22,12
2026-03-21,12.53,12
2026-03-22,9.52,12
2026-03-23,12.41,12
2026-03-24,14.51,12
2026-03-25,16.45,12
2026-03-26,13.53,12
2026-03-27,12.67,12
2026-03-28,14.23,12
2026-03-29,15.84,12
2026-03-30,16.18,12
2026-03-31,15.24,12
2026-04-01,14.02,12
2026-04-02,15.3,12
2026-04-03,18.02,13
2026-04-04,18.92,13
2026-04-05,17.04,13
2026-04-06,15.55,13
2026-04-07,15.5,13
2026-04-08,16.27,13
2026-04-09,16.65,14
2026-04-10,16.49,14
2026-04-11,16.6,14
2026-04-12,19.12,14
2026-04-13,18.95,14
2026-04-14,17.67,14
2026-04-15,19.1,14
2026-04-16,20.54,14
2026-04-17,21.47,14
2026-04-18,21.24,14
2026-04-19,19.02,14
2026-04-20,17.9,14
2026-04-21,18.29,14
2026-04-22,16.55,14
2026-04-23,17.26,14
2026-04-24,18.54,14
2026-04-25,17.09,14
2026-04-26,17.4,14
2026-04-27,17.51,14
2026-04-28,17.95,14
2026-04-29,19.99,14
2026-04-30,19.7,14
2026-05-01,18.38,14
2026-05-02,19.04,14
2026-05-03,17.89,14
2026-05-04,17.97,14
2026-05-05,16.8,14
2026-05-06,17.97,14
2026-05-07,17.17,14
2026-05-08,18.96,14
2026-05-09,19.61,14
