date,precipitation_sum,accumulated_precipitation
2026-01-01,2.1,2.1
2026-01-02,3.6,5.7
2026-01-03,0.1,5.8
2026-01-04,32.5,38.3
2026-01-05,9.0,47.3
2026-01-06,2.3,49.6
2026-01-07,8.4,58.0
2026-01-08,5.3,63.3
2026-01-09,2.4,65.7
2026-01-10,5.7,71.4
2026-01-11,1.9,73.3
2026-01-12,2.7,76.0
2026-01-13,0.0,76.0
2026-01-14,0.4,76.4
2026-01-15,0.8,77.2
2026-01-16,3.6,80.8
2026-01-17,1.0,81.8
2026-01-18,1.0,82.8
2026-01-19,6.6,89.4
2026-01-20,0.1,89.5
2026-01-21,1.4,90.9
2026-01-22,2.8,93.7
2026-01-23,0.5,94.2
2026-01-24,0.7,94.9
2026-01-25,0.9,95.8
2026-01-26,7.4,103.2
2026-01-27,0.8,104.0
2026-01-28,6.6,110.6
2026-01-29,3.5,114.1
2026-01-30,0.4,114.5
2026-01-31,0.7,115.2
2026-02-01,0.0,115.2
2026-02-02,0.1,115.3
2026-02-03,0.1,115.4
2026-02-04,0.4,115.8
2026-02-05,2.1,117.9
2026-02-06,0.0,117.9
2026-02-07,0.0,117.9
2026-02-08,0.0,117.9
2026-02-09,0.0,117.9
2026-02-10,0.0,117.9
2026-02-11,0.0,117.9
2026-02-12,0.7,118.6
2026-02-13,0.1,118.7
2026-02-14,0.2,118.9
2026-02-15,1.0,119.9
2026-02-16,0.9,120.8
2026-02-17,0.4,121.2
2026-02-18,2.0,123.2
2026-02-19,4.7,127.9
2026-02-20,0.1,128.0
2026-02-21,0.0,128.0
2026-02-22,2.5,130.5
2026-02-23,3.1,133.6
2026-02-24,0.6,134.2
2026-02-25,0.3,134.5
2026-02-26,0.3,134.8
2026-02-27,0.6,135.4
2026-02-28,4.2,139.6
2026-03-01,3.7,143.3
2026-03-02,11.1,154.4
2026-03-03,6.2,160.6
2026-03-04,18.9,179.5
2026-03-05,0.2,179.7
2026-03-06,8.5,188.2
2026-03-07,3.2,191.4
2026-03-08,23.4,214.8
2026-03-09,16.7,231.5
2026-03-10,19.1,250.6
2026-03-11,5.0,255.6
2026-03-12,3.0,258.6
2026-03-13,6.4,265.0
2026-03-14,5.6,270.6
2026-03-15,2.0,272.6
2026-03-16,0.5,273.1
2026-03-17,7.7,280.8
2026-03-18,1.9,282.7
2026-03-19,4.4,287.1
2026-03-20,3.3,290.4
2026-03-21,0.2,290.6
2026-03-22,0.0,290.6
2026-03-23,75.6,366.2
2026-03-24,1.2,367.4
2026-03-25,1.9,369.3
2026-03-26,2.7,372.0
2026-03-27,10.8,382.8
2026-03-28,8.4,391.2
2026-03-29,12.2,403.4
2026-03-30,5.6,409.0
2026-03-31,19.0,428.0
2026-04-01,10.3,438.3
2026-04-02,10.8,449.1
2026-04-03,21.9,471.0
2026-04-04,10.1,481.1
2026-04-05,15.2,496.3
2026-04-06,5.3,501.6
2026-04-07,4.2,505.8
2026-04-08,3.3,509.1
2026-04-09,7.0,516.1
2026-04-10,3.9,520.0
2026-04-11,0.6,520.6
2026-04-12,0.0,520.6
2026-04-13,0.2,520.8
2026-04-14,0.0,520.8
2026-04-15,1.6,522.4
2026-04-16,1.0,523.4
2026-04-17,13.7,537.1
2026-04-18,2.5,539.6
2026-04-19,8.8,548.4
2026-04-20,11.4,559.8
2026-04-21,1.7,561.5
2026-04-22,28.2,589.7
2026-04-23,6.1,595.8
2026-04-24,1.1,596.9
2026-04-25,0.2,597.1
2026-04-26,1.5,598.6
2026-04-27,1.1,599.7
2026-04-28,1.7,601.4
2026-04-29,5.7,607.1
2026-04-30,4.2,611.3
2026-05-01,6.2,617.5
2026-05-02,0.0,617.5
2026-05-03,3.4,620.9
2026-05-04,6.5,627.4
2026-05-05,0.5,627.9
2026-05-06,0.3,628.2
2026-05-07,0.8,629.0
2026-05-08,3.3,632.3
2026-05-09,1.0,633.3
2026-05-10,0.9,634.2
2026-05-11,1.1,635.3
2026-05-12,8.5,643.8
2026-05-13,2.2,646.0
2026-05-14,0.0,646.0
2026-05-15,0.2,646.2
2026-05-16,7.5,653.7
2026-05-17,3.2,656.9
2026-05-18,4.3,661.2
2026-05-19,7.5,668.7
2026-05-20,7.0,675.7
2026-05-21,3.6,679.3
2026-05-22,3.6,682.9
2026-05-23,9.9,692.8
2026-05-24,10.9,703.7
2026-05-25,9.4,713.1
2026-05-26,1.0,714.1
2026-05-27,0.4,714.5
2026-05-28,0.3,714.8
2026-05-29,4.8,719.6
2026-05-30,0.0,719.6
2026-05-31,0.0,719.6
2026-06-01,0.4,720.0
2026-06-02,0.0,720.0
2026-06-03,0.1,720.1
2026-06-04,4.6,724.7
2026-06-05,1.9,726.6
2026-06-06,12.9,739.5
2026-06-07,2.7,742.2
2026-06-08,15.2,757.4
2026-06-09,5.3,762.7
2026-06-10,2.1,764.8
2026-06-11,3.9,768.7
2026-06-12,5.0,773.7
2026-06-13,1.6,775.3
2026-06-14,0.1,775.4
2026-06-15,0.2,775.6
