calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,82.5,82.5,82.5,196.94,196.94,196.94,-0.58,-8.7,7.3,61.1,41.0,83.0,-15.0,15.8
2,2,Feb,70.3,70.3,70.3,200.72,200.72,200.72,0.55,-7.23,7.26,71.5,58.7,87.3,-13.2,16.1
3,3,Mar,78.5,78.5,78.5,245.57,245.57,245.57,10.46,1.7,18.2,66.26,48.0,91.0,-4.0,29.1
4,4,Apr,54.0,54.0,54.0,305.31,305.31,305.31,16.43,8.89,24.01,58.87,47.8,76.3,0.3,34.4
5,5,May,108.0,108.0,108.0,305.03,305.03,305.03,18.29,12.3,23.9,63.29,44.0,91.0,5.3,36.1
6,6,Jun,92.1,92.1,92.1,340.88,340.88,340.88,24.43,21.64,26.82,60.27,40.7,79.6,12.6,35.3
7,7,Jul,174.4,174.4,174.4,364.91,364.91,364.91,26.24,23.4,30.5,70.16,53.0,86.0,17.0,39.6
8,8,Aug,170.2,170.2,170.2,338.71,338.71,338.71,25.13,22.3,26.8,75.03,64.0,86.0,16.5,33.5
9,9,Sep,19.2,19.2,19.2,125.13,125.13,125.13,25.01,23.01,26.59,72.33,63.2,82.7,16.2,33.7
