date,daytime_temperature,daylight_hours_sampled
2026-01-01,9.16,9
2026-01-02,8.64,9
2026-01-03,10.12,9
2026-01-04,8.22,9
2026-01-05,5.83,9
2026-01-06,6.32,9
2026-01-07,5.41,9
2026-01-08,12.06,9
2026-01-09,14.09,9
2026-01-10,10.84,9
2026-01-11,9.46,9
2026-01-12,10.8,9
2026-01-13,12.91,9
2026-01-14,11.36,9
2026-01-15,11.12,9
2026-01-16,10.38,9
2026-01-17,12.27,9
2026-01-18,11.51,9
2026-01-19,11.88,9
2026-01-20,9.38,9
2026-01-21,12.21,9
2026-01-22,12.1,9
2026-01-23,12.53,9
2026-01-24,5.92,9
2026-01-25,11.31,9
2026-01-26,12.0,9
2026-01-27,12.63,10
2026-01-28,9.5,10
2026-01-29,11.95,10
2026-01-30,13.75,10
2026-01-31,12.82,10
2026-02-01,10.87,10
2026-02-02,11.54,10
2026-02-03,12.06,10
2026-02-04,10.57,11
2026-02-05,11.71,11
2026-02-06,14.95,11
2026-02-07,12.82,11
2026-02-08,11.92,11
2026-02-09,11.43,11
2026-02-10,15.32,11
2026-02-11,18.59,11
2026-02-12,16.56,11
2026-02-13,10.79,11
2026-02-14,13.89,11
2026-02-15,11.12,11
2026-02-16,17.07,11
2026-02-17,13.0,11
2026-02-18,13.85,11
2026-02-19,13.82,11
2026-02-20,14.0,11
2026-02-21,13.92,11
2026-02-22,13.95,11
2026-02-23,14.89,11
2026-02-24,16.33,11
2026-02-25,13.56,11
2026-02-26,12.77,11
2026-02-27,12.76,11
2026-02-28,13.3,11
2026-03-01,13.45,11
2026-03-02,12.42,11
2026-03-03,15.65,11
2026-03-04,16.35,11
2026-03-05,13.95,11
2026-03-06,12.81,11
2026-03-07,13.42,11
2026-03-08,12.25,11
2026-03-09,12.79,11
2026-03-10,12.55,11
2026-03-11,13.8,11
2026-03-12,13.97,11
2026-03-13,13.16,11
2026-03-14,10.27,11
2026-03-15,13.81,11
2026-03-16,12.91,11
2026-03-17,13.6,12
2026-03-18,12.85,13
2026-03-19,13.58,13
2026-03-20,13.08,13
2026-03-21,12.56,13
2026-03-22,12.61,13
2026-03-23,13.11,13
2026-03-24,14.56,13
2026-03-25,15.17,13
2026-03-26,11.97,13
2026-03-27,12.38,13
2026-03-28,13.67,13
2026-03-29,13.78,13
2026-03-30,15.28,13
2026-03-31,14.8,13
2026-04-01,14.29,13
2026-04-02,14.77,13
2026-04-03,14.85,13
2026-04-04,16.42,13
2026-04-05,17.21,13
2026-04-06,17.62,13
2026-04-07,16.45,13
2026-04-08,17.02,13
2026-04-09,18.07,13
2026-04-10,19.74,13
2026-04-11,19.96,13
2026-04-12,16.38,13
2026-04-13,13.64,13
2026-04-14,14.43,13
2026-04-15,15.44,13
2026-04-16,18.12,13
2026-04-17,18.24,13
2026-04-18,19.79,13
2026-04-19,19.8,13
2026-04-20,20.2,13
2026-04-21,19.13,13
2026-04-22,18.59,13
2026-04-23,17.65,14
2026-04-24,16.39,14
2026-04-25,17.29,14
2026-04-26,19.41,14
2026-04-27,19.81,14
2026-04-28,18.87,14
2026-04-29,19.14,14
2026-04-30,19.17,14
2026-05-01,19.14,14
2026-05-02,18.05,14
2026-05-03,17.51,14
2026-05-04,18.76,14
2026-05-05,17.29,14
2026-05-06,16.74,14
2026-05-07,16.58,14
2026-05-08,17.1,14
2026-05-09,17.16,14
2026-05-10,18.91,14
2026-05-11,20.54,14
2026-05-12,17.31,15
2026-05-13,17.06,15
2026-05-14,19.27,15
2026-05-15,15.05,15
2026-05-16,15.65,15
2026-05-17,17.89,15
2026-05-18,17.07,15
2026-05-19,19.63,15
2026-05-20,21.59,15
2026-05-21,22.59,15
2026-05-22,22.5,15
2026-05-23,22.16,15
2026-05-24,23.16,15
2026-05-25,23.41,15
2026-05-26,24.16,15
2026-05-27,26.25,15
2026-05-28,28.78,15
2026-05-29,26.1,15
2026-05-30,24.49,15
2026-05-31,24.49,15
2026-06-01,24.65,15
2026-06-02,24.53,15
2026-06-03,22.76,15
2026-06-04,23.01,15
2026-06-05,19.35,15
2026-06-06,22.13,15
2026-06-07,22.45,15
2026-06-08,23.69,15
2026-06-09,23.4,15
2026-06-10,20.61,15
2026-06-11,21.68,15
2026-06-12,24.89,15
2026-06-13,27.91,15
2026-06-14,26.83,15
