date,precipitation_sum,accumulated_precipitation
2026-01-01,0.2,0.2
2026-01-02,1.0,1.2
2026-01-03,0.0,1.2
2026-01-04,0.0,1.2
2026-01-05,0.0,1.2
2026-01-06,2.6,3.8
2026-01-07,0.2,4.0
2026-01-08,4.2,8.2
2026-01-09,14.5,22.7
2026-01-10,2.2,24.9
2026-01-11,17.2,42.1
2026-01-12,0.0,42.1
2026-01-13,2.7,44.8
2026-01-14,3.6,48.4
2026-01-15,0.0,48.4
2026-01-16,0.9,49.3
2026-01-17,0.0,49.3
2026-01-18,0.3,49.6
2026-01-19,7.4,57.0
2026-01-20,5.7,62.7
2026-01-21,10.7,73.4
2026-01-22,5.6,79.0
2026-01-23,1.3,80.3
2026-01-24,5.1,85.4
2026-01-25,3.7,89.1
2026-01-26,13.0,102.1
2026-01-27,23.8,125.9
2026-01-28,0.0,125.9
2026-01-29,9.1,135.0
2026-01-30,9.1,144.1
2026-01-31,6.9,151.0
2026-02-01,3.8,154.8
2026-02-02,1.3,156.1
2026-02-03,8.1,164.2
2026-02-04,2.1,166.3
2026-02-05,4.7,171.0
2026-02-06,11.0,182.0
2026-02-07,1.1,183.1
2026-02-08,1.0,184.1
2026-02-09,0.5,184.6
2026-02-10,4.0,188.6
2026-02-11,5.3,193.9
2026-02-12,18.1,212.0
2026-02-13,8.7,220.7
2026-02-14,2.6,223.3
2026-02-15,3.3,226.6
2026-02-16,1.3,227.9
2026-02-17,0.0,227.9
2026-02-18,9.3,237.2
2026-02-19,0.6,237.8
2026-02-20,5.1,242.9
2026-02-21,9.4,252.3
2026-02-22,0.2,252.5
2026-02-23,0.6,253.1
2026-02-24,0.5,253.6
2026-02-25,0.8,254.4
2026-02-26,3.1,257.5
2026-02-27,0.4,257.9
2026-02-28,0.0,257.9
2026-03-01,7.1,265.0
2026-03-02,4.1,269.1
2026-03-03,0.0,269.1
2026-03-04,1.2,270.3
2026-03-05,17.5,287.8
2026-03-06,0.0,287.8
2026-03-07,0.0,287.8
2026-03-08,11.5,299.3
2026-03-09,3.5,302.8
2026-03-10,6.5,309.3
2026-03-11,0.0,309.3
2026-03-12,18.1,327.4
2026-03-13,2.0,329.4
2026-03-14,0.2,329.6
2026-03-15,2.7,332.3
2026-03-16,2.6,334.9
2026-03-17,0.1,335.0
2026-03-18,0.2,335.2
2026-03-19,0.0,335.2
2026-03-20,0.0,335.2
2026-03-21,0.0,335.2
2026-03-22,0.4,335.6
2026-03-23,0.0,335.6
2026-03-24,8.1,343.7
2026-03-25,1.9,345.6
2026-03-26,0.2,345.8
2026-03-27,2.4,348.2
2026-03-28,1.3,349.5
2026-03-29,1.7,351.2
2026-03-30,0.1,351.3
2026-03-31,0.1,351.4
2026-04-01,0.4,351.8
2026-04-02,2.8,354.6
2026-04-03,0.9,355.5
2026-04-04,3.3,358.8
2026-04-05,1.5,360.3
2026-04-06,0.0,360.3
2026-04-07,3.0,363.3
2026-04-08,0.2,363.5
2026-04-09,1.5,365.0
2026-04-10,9.8,374.8
2026-04-11,2.8,377.6
2026-04-12,1.1,378.7
2026-04-13,2.1,380.8
2026-04-14,5.2,386.0
2026-04-15,6.6,392.6
2026-04-16,0.4,393.0
2026-04-17,7.5,400.5
2026-04-18,2.6,403.1
