calendar_month,time,daytime_temperature,daytime_temperature_p10,daytime_temperature_p90,daylight_hours_sampled
1,Jan,22.96,19.89,25.9,320
2,Feb,24.15,19.5,27.8,331
3,Mar,27.48,21.21,32.8,372
4,Apr,28.46,22.05,32.85,376
5,May,29.33,21.66,35.6,414
6,Jun,31.43,24.09,37.41,420
7,Jul,34.25,27.93,38.6,434
8,Aug,33.86,28.2,38.6,403
9,Sep,31.9,27.65,35.4,276
