calendar_month,time,daytime_temperature,daytime_temperature_p10,daytime_temperature_p90,daylight_hours_sampled
1,Jan,23.03,18.7,27.0,442
2,Feb,23.5,19.2,27.8,364
3,Mar,23.41,17.2,33.41,390
4,Apr,19.5,14.2,25.8,333
5,May,16.68,13.45,19.5,316
6,Jun,15.5,12.2,19.21,300
7,Jul,14.83,10.88,18.62,319
8,Aug,16.54,12.1,22.0,341
9,Sep,18.95,14.47,26.1,248
