calendar_month,time,daytime_temperature,daytime_temperature_p10,daytime_temperature_p90,daylight_hours_sampled
1,Jan,10.92,7.37,13.8,308
2,Feb,12.81,9.9,15.1,300
3,Mar,15.05,10.2,19.9,366
4,Apr,17.4,12.4,22.4,407
5,May,18.37,13.64,24.72,435
6,Jun,21.22,17.29,26.3,450
7,Jul,23.48,18.95,30.95,456
8,Aug,22.35,18.5,25.8,434
9,Sep,23.51,18.96,28.4,197
