calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,203.3,203.3,203.3,264.62,264.62,264.62,18.56,17.6,19.9,86.23,79.0,91.0,13.6,27.6
2,2,Feb,224.4,224.4,224.4,253.89,253.89,253.89,18.54,17.67,19.33,85.54,81.0,90.3,13.7,26.8
3,3,Mar,113.3,113.3,113.3,318.49,318.49,318.49,19.41,18.6,20.2,79.77,72.0,88.0,13.4,28.4
4,4,Apr,102.8,102.8,102.8,293.28,293.28,293.28,19.63,19.1,20.7,79.53,74.0,84.1,13.8,28.8
5,5,May,129.7,129.7,129.7,311.79,311.79,311.79,20.84,19.7,21.7,80.23,72.0,87.0,15.4,30.7
6,6,Jun,172.9,172.9,172.9,287.83,287.83,287.83,20.38,18.9,21.72,81.2,66.9,93.1,14.9,29.6
7,7,Jul,79.3,79.3,79.3,314.12,314.12,314.12,21.36,19.2,22.5,71.87,62.0,89.0,14.6,32.6
8,8,Aug,71.0,71.0,71.0,321.94,321.94,321.94,21.59,20.4,22.6,70.84,57.0,87.0,14.6,31.0
9,9,Sep,55.6,55.6,55.6,248.34,248.34,248.34,21.26,20.28,22.1,73.64,63.8,83.6,15.0,30.7
