calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,3.4,3.4,3.4,270.08,270.08,270.08,5.44,3.0,8.9,45.13,33.0,62.0,-3.5,17.6
2,2,Feb,84.3,84.3,84.3,206.98,206.98,206.98,7.59,4.24,11.9,58.21,40.0,77.6,-3.4,22.8
3,3,Mar,120.9,120.9,120.9,234.09,234.09,234.09,10.24,6.6,14.1,65.61,51.0,79.0,0.5,20.3
4,4,Apr,178.2,178.2,178.2,213.48,213.48,213.48,16.03,12.89,18.41,70.97,58.1,83.2,6.4,25.5
5,5,May,79.6,79.6,79.6,299.46,299.46,299.46,20.65,16.3,24.9,63.74,45.0,81.0,10.7,32.3
6,6,Jun,410.3,410.3,410.3,192.2,192.2,192.2,21.46,19.02,23.9,80.5,66.9,93.1,15.1,33.7
7,7,Jul,155.7,155.7,155.7,324.32,324.32,324.32,27.88,22.9,32.1,71.68,63.0,82.0,19.6,39.1
8,8,Aug,256.9,256.9,256.9,294.51,294.51,294.51,27.14,24.1,30.3,74.94,62.0,87.0,19.6,39.2
9,9,Sep,617.8,617.8,617.8,93.47,93.47,93.47,23.19,21.1,26.7,86.67,79.0,95.0,18.7,31.4
