calendar_month,time,daytime_temperature,daytime_temperature_p10,daytime_temperature_p90,daylight_hours_sampled
1,Jan,27.34,24.2,29.8,341
2,Feb,28.64,24.9,31.69,322
3,Mar,29.31,25.4,32.18,383
4,Apr,31.52,26.9,34.4,390
5,May,32.62,28.9,35.58,403
6,Jun,30.27,27.4,33.71,390
7,Jul,29.71,26.7,32.5,403
8,Aug,27.84,26.2,29.7,403
9,Sep,27.48,26.09,29.6,130
