calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,0.9,0.9,0.9,338.04,338.04,338.04,14.81,13.1,16.3,49.16,37.0,64.0,5.3,24.5
2,2,Feb,2.3,2.3,2.3,299.4,299.4,299.4,16.72,16.0,17.6,39.93,32.0,52.6,8.4,25.9
3,3,Mar,140.4,140.4,140.4,316.77,316.77,316.77,15.38,14.3,16.8,72.39,52.0,83.0,8.5,24.4
4,4,Apr,64.5,64.5,64.5,336.24,336.24,336.24,15.57,14.8,16.82,71.07,64.0,78.0,8.1,25.2
5,5,May,70.6,70.6,70.6,353.41,353.41,353.41,17.93,16.2,19.5,51.03,34.0,71.0,9.3,26.6
6,6,Jun,48.5,48.5,48.5,356.73,356.73,356.73,17.03,15.57,18.34,58.33,42.0,76.2,8.5,26.8
7,7,Jul,161.7,161.7,161.7,325.66,325.66,325.66,15.18,14.4,16.0,79.42,73.0,85.0,8.5,23.6
8,8,Aug,296.7,296.7,296.7,303.2,303.2,303.2,14.39,13.9,14.9,85.87,84.0,88.0,8.8,21.9
9,9,Sep,139.4,139.4,139.4,246.04,246.04,246.04,14.61,14.22,14.98,82.39,76.2,87.0,8.3,21.5
