calendar_month,time,daytime_temperature,daytime_temperature_p10,daytime_temperature_p90,daylight_hours_sampled
1,Jan,9.03,2.4,14.75,296
2,Feb,9.45,4.93,14.0,294
3,Mar,9.52,6.7,12.28,373
4,Apr,13.39,9.4,17.2,390
5,May,18.68,11.3,24.2,462
6,Jun,25.11,20.4,29.2,450
7,Jul,26.31,21.8,30.4,465
8,Aug,27.07,23.7,30.5,420
9,Sep,24.12,20.0,27.84,247
