calendar_month,time,daytime_temperature,daytime_temperature_p10,daytime_temperature_p90,daylight_hours_sampled
1,Jan,-11.04,-20.34,-0.1,279
2,Feb,-9.6,-17.15,-3.15,296
3,Mar,-2.18,-9.9,5.1,371
4,Apr,7.0,-0.1,15.68,402
5,May,12.65,6.14,19.86,465
6,Jun,20.28,15.59,25.9,450
7,Jul,22.91,17.6,27.9,465
8,Aug,20.95,16.75,25.0,436
9,Sep,19.37,15.4,22.9,130
