calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,12.6,12.6,12.6,377.86,377.86,377.86,21.17,16.6,27.6,60.23,44.0,72.0,11.3,43.4
2,2,Feb,81.5,81.5,81.5,315.83,315.83,315.83,19.96,16.55,23.61,65.21,44.7,81.3,10.3,35.2
3,3,Mar,84.6,84.6,84.6,272.64,272.64,272.64,18.24,15.4,21.0,74.19,61.0,85.0,9.7,29.5
4,4,Apr,34.2,34.2,34.2,276.75,276.75,276.75,16.19,12.58,19.1,67.27,53.9,80.0,4.4,28.1
5,5,May,65.9,65.9,65.9,227.51,227.51,227.51,13.97,11.4,17.8,77.87,64.0,91.0,6.1,26.6
6,6,Jun,98.7,98.7,98.7,190.21,190.21,190.21,12.13,9.6,15.64,83.27,76.0,91.2,4.1,19.3
7,7,Jul,51.0,51.0,51.0,239.21,239.21,239.21,9.95,7.1,12.0,79.97,72.0,89.0,2.7,16.6
8,8,Aug,88.8,88.8,88.8,249.27,249.27,249.27,11.37,9.7,12.8,79.06,74.0,89.0,2.4,19.0
9,9,Sep,29.7,29.7,29.7,261.39,261.39,261.39,13.99,11.12,19.02,66.28,57.4,75.8,5.3,28.1
