date,precipitation_sum,accumulated_precipitation
2026-01-01,0.0,0.0
2026-01-02,22.1,22.1
2026-01-03,6.0,28.1
2026-01-04,36.7,64.8
2026-01-05,16.0,80.8
2026-01-06,22.6,103.4
2026-01-07,0.0,103.4
2026-01-08,0.0,103.4
2026-01-09,7.8,111.2
2026-01-10,17.5,128.7
2026-01-11,0.0,128.7
2026-01-12,0.0,128.7
2026-01-13,0.0,128.7
2026-01-14,0.0,128.7
2026-01-15,0.0,128.7
2026-01-16,0.0,128.7
2026-01-17,0.0,128.7
2026-01-18,0.0,128.7
2026-01-19,1.1,129.8
2026-01-20,0.0,129.8
2026-01-21,0.0,129.8
2026-01-22,0.0,129.8
2026-01-23,2.2,132.0
2026-01-24,20.9,152.9
2026-01-25,26.4,179.3
2026-01-26,1.4,180.7
2026-01-27,0.0,180.7
2026-01-28,38.4,219.1
2026-01-29,4.6,223.7
2026-01-30,3.8,227.5
2026-01-31,0.2,227.7
2026-02-01,0.0,227.7
2026-02-02,0.0,227.7
2026-02-03,12.5,240.2
2026-02-04,29.9,270.1
2026-02-05,5.4,275.5
2026-02-06,15.9,291.4
2026-02-07,10.0,301.4
2026-02-08,1.7,303.1
2026-02-09,0.2,303.3
2026-02-10,0.7,304.0
2026-02-11,3.9,307.9
2026-02-12,24.7,332.6
2026-02-13,0.1,332.7
2026-02-14,21.7,354.4
2026-02-15,0.1,354.5
2026-02-16,8.8,363.3
2026-02-17,3.5,366.8
2026-02-18,0.4,367.2
2026-02-19,22.8,390.0
2026-02-20,1.9,391.9
2026-02-21,0.0,391.9
2026-02-22,0.0,391.9
2026-02-23,0.2,392.1
2026-02-24,0.2,392.3
2026-02-25,0.0,392.3
2026-02-26,0.0,392.3
2026-02-27,0.3,392.6
2026-02-28,0.0,392.6
2026-03-01,0.0,392.6
2026-03-02,0.0,392.6
2026-03-03,0.0,392.6
2026-03-04,0.2,392.8
2026-03-05,0.0,392.8
2026-03-06,0.0,392.8
2026-03-07,1.5,394.3
2026-03-08,3.6,397.9
2026-03-09,0.9,398.8
2026-03-10,0.8,399.6
2026-03-11,2.1,401.7
2026-03-12,11.6,413.3
2026-03-13,2.1,415.4
2026-03-14,0.7,416.1
2026-03-15,0.2,416.3
2026-03-16,0.0,416.3
2026-03-17,0.0,416.3
2026-03-18,0.4,416.7
2026-03-19,0.0,416.7
2026-03-20,0.0,416.7
2026-03-21,0.1,416.8
2026-03-22,4.8,421.6
2026-03-23,0.7,422.3
2026-03-24,0.0,422.3
