calendar_month,time,daytime_temperature,daytime_temperature_p10,daytime_temperature_p90,daylight_hours_sampled
1,Jan,28.14,23.3,32.8,403
2,Feb,28.14,25.0,31.57,364
3,Mar,26.56,23.32,29.5,393
4,Apr,26.91,23.6,30.61,330
5,May,24.21,20.9,27.9,341
6,Jun,22.05,19.3,25.2,330
7,Jul,22.9,19.1,27.6,341
8,Aug,24.05,20.1,28.3,341
9,Sep,22.47,18.07,26.1,140
