calendar_month,time,daytime_temperature,daytime_temperature_p10,daytime_temperature_p90,daylight_hours_sampled
1,Jan,-2.8,-12.7,6.3,281
2,Feb,-2.69,-9.28,2.4,307
3,Mar,5.39,-1.2,13.96,369
4,Apr,10.14,3.7,16.94,403
5,May,17.16,9.89,26.33,450
6,Jun,23.75,17.78,30.0,450
7,Jul,24.84,18.94,31.0,465
8,Aug,24.85,19.4,29.5,428
9,Sep,21.4,17.4,25.74,167
