calendar_month,time,daytime_temperature,daytime_temperature_p10,daytime_temperature_p90,daylight_hours_sampled
1,Jan,26.59,20.8,30.5,343
2,Feb,28.94,23.4,33.15,336
3,Mar,30.98,26.21,35.49,372
4,Apr,30.98,27.2,34.25,386
5,May,32.2,29.7,34.2,403
6,Jun,30.81,27.0,33.4,390
7,Jul,27.78,26.4,29.4,403
8,Aug,28.02,26.6,29.18,403
9,Sep,28.03,25.8,29.8,325
