date,precipitation_sum,accumulated_precipitation
2026-01-01,10.2,10.2
2026-01-02,6.8,17.0
2026-01-03,8.8,25.8
2026-01-04,6.9,32.7
2026-01-05,1.4,34.1
2026-01-06,0.2,34.3
2026-01-07,9.1,43.4
2026-01-08,1.2,44.6
2026-01-09,13.9,58.5
2026-01-10,1.0,59.5
2026-01-11,0.0,59.5
2026-01-12,3.9,63.4
2026-01-13,2.0,65.4
2026-01-14,5.5,70.9
2026-01-15,2.2,73.1
2026-01-16,1.6,74.7
2026-01-17,0.5,75.2
2026-01-18,0.0,75.2
2026-01-19,0.3,75.5
2026-01-20,0.0,75.5
2026-01-21,1.7,77.2
2026-01-22,0.0,77.2
2026-01-23,0.0,77.2
2026-01-24,0.0,77.2
2026-01-25,0.0,77.2
2026-01-26,0.0,77.2
2026-01-27,5.2,82.4
2026-01-28,0.3,82.7
2026-01-29,3.6,86.3
2026-01-30,0.0,86.3
2026-01-31,1.0,87.3
2026-02-01,0.2,87.5
2026-02-02,0.0,87.5
2026-02-03,0.2,87.7
2026-02-04,0.4,88.1
2026-02-05,0.0,88.1
2026-02-06,2.0,90.1
2026-02-07,0.0,90.1
2026-02-08,0.0,90.1
2026-02-09,0.0,90.1
2026-02-10,1.9,92.0
2026-02-11,8.4,100.4
2026-02-12,3.5,103.9
2026-02-13,0.2,104.1
2026-02-14,0.0,104.1
2026-02-15,3.0,107.1
2026-02-16,4.2,111.3
2026-02-17,1.4,112.7
2026-02-18,0.0,112.7
2026-02-19,1.4,114.1
2026-02-20,2.8,116.9
2026-02-21,3.9,120.8
2026-02-22,9.6,130.4
2026-02-23,2.0,132.4
2026-02-24,7.2,139.6
2026-02-25,0.0,139.6
2026-02-26,0.0,139.6
2026-02-27,5.8,145.4
2026-02-28,6.2,151.6
2026-03-01,3.3,154.9
2026-03-02,0.0,154.9
2026-03-03,0.0,154.9
2026-03-04,0.0,154.9
2026-03-05,0.0,154.9
2026-03-06,0.0,154.9
2026-03-07,0.1,155.0
