calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,14.8,14.8,14.8,326.54,326.54,326.54,14.26,11.9,16.2,52.77,39.0,66.0,5.0,25.2
2,2,Feb,2.8,2.8,2.8,308.42,308.42,308.42,16.59,12.6,20.1,39.89,27.7,56.4,4.1,28.5
3,3,Mar,35.2,35.2,35.2,353.64,353.64,353.64,16.29,14.3,18.4,46.97,36.0,59.0,6.2,26.4
4,4,Apr,33.1,33.1,33.1,356.07,356.07,356.07,19.13,16.59,22.32,47.6,32.4,62.0,6.1,32.4
5,5,May,82.5,82.5,82.5,382.84,382.84,382.84,19.46,17.4,21.6,54.71,39.0,71.0,10.6,30.5
6,6,Jun,207.9,207.9,207.9,329.69,329.69,329.69,17.52,16.49,18.43,74.07,68.0,83.0,10.7,27.6
7,7,Jul,183.6,183.6,183.6,369.83,369.83,369.83,17.55,16.6,18.7,69.35,57.0,77.0,10.5,27.9
8,8,Aug,169.1,169.1,169.1,338.18,338.18,338.18,17.33,16.2,18.1,71.1,64.0,80.0,10.2,28.0
9,9,Sep,121.6,121.6,121.6,251.31,251.31,251.31,17.39,16.53,18.48,72.12,62.0,79.7,11.0,25.9
