calendar_month,time,daytime_temperature,daytime_temperature_p10,daytime_temperature_p90,daylight_hours_sampled
1,Jan,21.81,17.0,25.44,314
2,Feb,24.57,17.4,29.88,332
3,Mar,25.98,21.4,31.49,372
4,Apr,27.52,22.1,34.98,379
5,May,34.0,27.21,39.4,412
6,Jun,36.46,30.28,40.8,420
7,Jul,37.98,31.7,42.87,434
8,Aug,39.62,32.4,44.5,410
9,Sep,37.8,31.92,42.18,242
