date,daytime_temperature,daylight_hours_sampled
2026-01-01,23.07,11
2026-01-02,23.59,11
2026-01-03,24.41,11
2026-01-04,24.85,11
2026-01-05,23.88,11
2026-01-06,25.64,11
2026-01-07,25.97,11
2026-01-08,26.74,11
2026-01-09,27.1,11
2026-01-10,27.18,11
2026-01-11,26.61,11
2026-01-12,24.56,11
2026-01-13,24.99,11
2026-01-14,25.37,11
2026-01-15,23.8,11
2026-01-16,22.75,11
2026-01-17,24.59,11
2026-01-18,24.5,11
2026-01-19,22.16,11
2026-01-20,22.73,11
2026-01-21,25.59,11
2026-01-22,26.23,11
2026-01-23,26.64,11
2026-01-24,26.88,11
2026-01-25,27.43,11
2026-01-26,26.34,11
2026-01-27,22.8,11
2026-01-28,21.75,11
2026-01-29,22.25,11
2026-01-30,23.89,11
2026-01-31,21.61,11
2026-02-01,19.26,11
2026-02-02,20.33,11
2026-02-03,20.83,11
2026-02-04,23.13,11
2026-02-05,22.11,11
2026-02-06,20.44,11
2026-02-07,22.1,11
2026-02-08,23.87,11
2026-02-09,24.1,11
2026-02-10,25.16,11
2026-02-11,25.49,11
2026-02-12,25.6,11
2026-02-13,25.01,11
2026-02-14,25.53,11
2026-02-15,26.5,11
2026-02-16,25.69,11
2026-02-17,26.19,11
2026-02-18,26.76,11
2026-02-19,27.35,11
2026-02-20,27.23,11
2026-02-21,27.5,11
2026-02-22,27.75,11
2026-02-23,22.7,11
2026-02-24,22.2,11
2026-02-25,23.69,11
2026-02-26,26.79,11
2026-02-27,27.47,11
2026-02-28,27.08,11
2026-03-01,25.76,11
2026-03-02,26.35,11
2026-03-03,27.13,11
2026-03-04,27.03,11
2026-03-05,26.42,11
2026-03-06,26.92,11
2026-03-07,26.73,11
2026-03-08,27.75,11
2026-03-09,27.82,11
2026-03-10,27.77,11
2026-03-11,27.62,12
2026-03-12,27.87,12
2026-03-13,25.62,12
2026-03-14,26.5,12
2026-03-15,27.39,12
2026-03-16,27.98,12
2026-03-17,23.98,12
2026-03-18,23.21,12
