calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,18.5,18.5,18.5,307.58,307.58,307.58,21.45,20.3,23.0,60.16,43.0,83.0,17.8,29.5
2,2,Feb,0.2,0.2,0.2,302.54,302.54,302.54,22.82,20.47,25.75,58.89,41.7,76.3,18.3,36.1
3,3,Mar,0.0,0.0,0.0,337.4,337.4,337.4,20.87,19.8,21.5,72.9,62.0,80.0,17.5,28.5
4,4,Apr,0.0,0.0,0.0,349.66,349.66,349.66,22.49,20.9,26.14,70.1,50.0,81.1,18.5,37.9
5,5,May,0.4,0.4,0.4,357.04,357.04,357.04,23.44,21.8,25.6,73.52,64.0,80.0,19.3,30.9
6,6,Jun,15.3,15.3,15.3,328.68,328.68,328.68,25.78,24.49,26.92,77.33,74.9,80.0,22.2,31.1
7,7,Jul,30.5,30.5,30.5,339.76,339.76,339.76,27.93,26.9,29.0,76.45,73.0,81.0,24.1,32.4
8,8,Aug,110.0,110.0,110.0,319.48,319.48,319.48,28.9,28.1,29.7,77.42,72.0,81.0,24.5,33.3
9,9,Sep,29.1,29.1,29.1,115.99,115.99,115.99,29.42,28.4,30.4,75.73,72.0,81.0,24.9,34.4
