date,daytime_temperature,daylight_hours_sampled
2026-01-01,30.45,12
2026-01-02,29.64,12
2026-01-03,28.57,12
2026-01-04,28.08,12
2026-01-05,29.21,12
2026-01-06,28.95,12
2026-01-07,27.54,12
2026-01-08,26.48,12
2026-01-09,25.53,12
2026-01-10,26.17,12
2026-01-11,25.9,12
2026-01-12,27.22,12
2026-01-13,28.8,12
2026-01-14,29.51,12
2026-01-15,29.97,12
2026-01-16,30.02,12
2026-01-17,29.85,12
2026-01-18,29.86,12
2026-01-19,31.44,12
2026-01-20,30.32,12
2026-01-21,28.95,12
2026-01-22,29.62,12
2026-01-23,28.31,12
2026-01-24,28.7,12
2026-01-25,29.22,12
2026-01-26,29.42,12
2026-01-27,30.04,12
2026-01-28,29.95,12
2026-01-29,30.59,12
2026-01-30,30.82,12
2026-01-31,31.16,12
2026-02-01,30.02,12
2026-02-02,29.86,12
2026-02-03,29.8,12
2026-02-04,31.04,12
2026-02-05,32.06,12
2026-02-06,31.55,12
2026-02-07,31.31,12
2026-02-08,29.81,12
2026-02-09,29.19,12
2026-02-10,30.93,12
2026-02-11,32.29,12
2026-02-12,31.14,12
2026-02-13,31.08,12
2026-02-14,31.52,12
2026-02-15,31.59,12
2026-02-16,32.49,12
2026-02-17,31.22,12
2026-02-18,29.44,12
2026-02-19,31.3,12
2026-02-20,30.96,12
2026-02-21,31.86,12
2026-02-22,32.78,12
2026-02-23,30.74,12
2026-02-24,30.55,12
2026-02-25,30.31,12
2026-02-26,31.06,12
2026-02-27,32.19,12
2026-02-28,32.11,12
2026-03-01,33.02,12
2026-03-02,33.86,12
2026-03-03,33.83,12
2026-03-04,33.16,12
2026-03-05,32.4,12
2026-03-06,31.62,12
2026-03-07,32.51,12
2026-03-08,32.15,12
2026-03-09,33.42,12
2026-03-10,32.2,12
2026-03-11,32.49,12
2026-03-12,28.74,12
2026-03-13,29.56,12
2026-03-14,31.44,12
2026-03-15,31.89,12
2026-03-16,30.83,12
2026-03-17,30.68,12
2026-03-18,31.0,12
2026-03-19,30.91,12
2026-03-20,30.72,12
2026-03-21,31.31,12
2026-03-22,31.92,12
2026-03-23,32.02,12
2026-03-24,32.12,12
2026-03-25,32.91,12
2026-03-26,33.32,12
2026-03-27,32.54,12
2026-03-28,32.67,12
2026-03-29,32.28,12
2026-03-30,32.1,12
2026-03-31,32.81,12
2026-04-01,33.01,12
2026-04-02,32.84,12
2026-04-03,32.57,12
2026-04-04,33.15,12
2026-04-05,34.49,12
2026-04-06,34.82,12
2026-04-07,34.7,12
2026-04-08,34.68,12
2026-04-09,33.82,12
2026-04-10,32.88,12
2026-04-11,33.62,12
2026-04-12,34.37,12
2026-04-13,34.5,12
2026-04-14,34.63,12
2026-04-15,34.29,12
2026-04-16,34.24,12
2026-04-17,32.98,12
2026-04-18,33.7,12
2026-04-19,32.78,12
2026-04-20,32.27,12
2026-04-21,31.58,12
2026-04-22,33.22,12
2026-04-23,32.06,12
2026-04-24,32.16,12
2026-04-25,32.55,13
2026-04-26,32.04,13
2026-04-27,33.42,13
2026-04-28,33.09,13
2026-04-29,33.14,13
2026-04-30,31.78,13
2026-05-01,32.21,13
2026-05-02,32.9,13
2026-05-03,33.1,13
2026-05-04,32.87,13
2026-05-05,31.77,13
2026-05-06,32.17,13
2026-05-07,31.04,13
2026-05-08,30.4,13
2026-05-09,31.45,13
