date,daytime_temperature,daylight_hours_sampled
2026-01-01,0.89,8
2026-01-02,1.32,8
2026-01-03,-2.04,8
2026-01-04,-2.92,8
2026-01-05,-4.24,8
2026-01-06,-5.99,8
2026-01-07,-4.53,8
2026-01-08,-0.23,8
2026-01-09,4.85,8
2026-01-10,1.23,8
2026-01-11,-5.31,8
2026-01-12,1.0,8
2026-01-13,6.31,8
2026-01-14,6.97,9
2026-01-15,6.9,9
2026-01-16,5.39,9
2026-01-17,-0.54,9
2026-01-18,0.82,9
2026-01-19,2.91,9
2026-01-20,0.99,9
2026-01-21,0.8,9
2026-01-22,-3.94,9
2026-01-23,-2.36,9
2026-01-24,-0.71,10
2026-01-25,-1.88,10
2026-01-26,3.04,10
2026-01-27,2.14,10
2026-01-28,2.34,10
2026-01-29,1.44,10
2026-01-30,1.38,10
2026-01-31,1.73,10
2026-02-01,2.06,10
2026-02-02,0.96,10
2026-02-03,2.59,10
2026-02-04,1.68,10
2026-02-05,3.28,10
2026-02-06,5.13,10
2026-02-07,6.29,10
2026-02-08,4.85,10
2026-02-09,3.13,10
2026-02-10,4.23,10
2026-02-11,8.28,10
2026-02-12,6.91,10
2026-02-13,7.3,10
2026-02-14,4.72,10
2026-02-15,-0.22,10
2026-02-16,5.54,10
2026-02-17,3.69,10
2026-02-18,2.43,10
2026-02-19,0.65,10
2026-02-20,1.03,10
2026-02-21,4.37,10
2026-02-22,8.94,10
2026-02-23,9.75,10
2026-02-24,6.54,10
2026-02-25,9.5,10
2026-02-26,11.82,10
2026-02-27,11.7,11
2026-02-28,11.28,11
2026-03-01,7.4,11
2026-03-02,7.89,11
2026-03-03,6.98,12
2026-03-04,6.73,12
2026-03-05,8.25,12
2026-03-06,8.98,12
2026-03-07,8.83,12
2026-03-08,9.02,12
2026-03-09,10.24,12
2026-03-10,12.18,12
2026-03-11,11.57,12
2026-03-12,8.53,12
2026-03-13,10.52,12
2026-03-14,8.56,12
2026-03-15,5.12,12
2026-03-16,6.28,12
2026-03-17,3.58,12
2026-03-18,5.49,12
2026-03-19,7.9,12
2026-03-20,8.2,12
2026-03-21,7.13,12
2026-03-22,8.97,12
2026-03-23,7.95,12
2026-03-24,10.48,12
2026-03-25,10.13,12
2026-03-26,3.14,12
2026-03-27,2.81,12
2026-03-28,4.89,12
2026-03-29,2.7,13
2026-03-30,3.98,13
2026-03-31,3.67,13
2026-04-01,4.82,13
2026-04-02,5.38,13
2026-04-03,9.12,13
2026-04-04,10.77,13
2026-04-05,16.54,13
2026-04-06,13.09,13
2026-04-07,12.66,13
2026-04-08,11.38,13
2026-04-09,10.88,13
2026-04-10,9.92,13
2026-04-11,12.62,13
2026-04-12,10.11,13
2026-04-13,9.69,14
2026-04-14,8.89,14
2026-04-15,11.26,14
2026-04-16,13.82,14
2026-04-17,15.44,14
2026-04-18,16.55,14
2026-04-19,13.35,14
2026-04-20,9.85,14
2026-04-21,7.53,14
2026-04-22,9.71,14
2026-04-23,12.61,14
2026-04-24,15.38,14
2026-04-25,17.0,14
2026-04-26,15.56,14
2026-04-27,15.28,14
2026-04-28,15.76,14
2026-04-29,13.65,15
2026-04-30,10.34,15
2026-05-01,14.66,15
2026-05-02,18.85,15
2026-05-03,21.05,15
2026-05-04,20.21,15
2026-05-05,18.2,15
2026-05-06,15.45,15
2026-05-07,12.62,15
2026-05-08,13.97,15
2026-05-09,16.25,15
2026-05-10,18.38,15
2026-05-11,14.34,15
2026-05-12,6.98,15
2026-05-13,10.65,15
2026-05-14,10.34,15
2026-05-15,9.65,15
2026-05-16,9.12,15
2026-05-17,11.66,15
2026-05-18,13.58,15
2026-05-19,14.23,15
2026-05-20,14.81,15
2026-05-21,16.43,15
2026-05-22,19.33,15
2026-05-23,22.9,15
2026-05-24,24.56,15
2026-05-25,24.82,15
2026-05-26,25.65,15
2026-05-27,25.54,16
2026-05-28,21.96,16
2026-05-29,22.74,16
2026-05-30,23.34,16
2026-05-31,22.03,16
2026-06-01,18.3,16
2026-06-02,19.77,16
2026-06-03,14.97,16
2026-06-04,18.61,16
2026-06-05,15.01,16
2026-06-06,17.59,16
2026-06-07,19.39,16
2026-06-08,21.98,16
2026-06-09,15.29,16
2026-06-10,11.54,16
2026-06-11,12.61,16
2026-06-12,13.31,16
2026-06-13,20.82,16
2026-06-14,18.06,16
2026-06-15,17.92,16
2026-06-16,19.41,16
2026-06-17,23.12,16
2026-06-18,26.54,16
2026-06-19,28.87,16
2026-06-20,29.02,16
2026-06-21,28.84,16
2026-06-22,27.76,16
2026-06-23,27.74,16
2026-06-24,28.25,16
2026-06-25,30.38,16
2026-06-26,30.71,16
2026-06-27,31.59,16
2026-06-28,31.24,16
2026-06-29,23.69,16
2026-06-30,23.49,16
2026-07-01,17.77,16
2026-07-02,21.27,16
2026-07-03,20.44,16
2026-07-04,21.28,16
2026-07-05,20.55,16
2026-07-06,20.72,16
2026-07-07,25.65,16
2026-07-08,21.49,16
2026-07-09,21.7,16
2026-07-10,23.73,16
2026-07-11,24.58,16
2026-07-12,23.78,16
2026-07-13,26.5,16
2026-07-14,23.14,16
2026-07-15,22.56,16
2026-07-16,24.71,16
2026-07-17,23.96,16
2026-07-18,21.47,16
2026-07-19,18.47,16
2026-07-20,18.35,16
2026-07-21,17.31,16
2026-07-22,19.22,16
2026-07-23,18.11,16
2026-07-24,19.31,16
2026-07-25,25.15,15
2026-07-26,22.03,15
2026-07-27,21.26,15
2026-07-28,22.84,15
2026-07-29,27.87,15
2026-07-30,31.34,15
2026-07-31,29.37,15
2026-08-01,24.81,15
2026-08-02,24.83,15
2026-08-03,27.77,15
2026-08-04,30.71,15
2026-08-05,28.29,15
2026-08-06,22.84,15
2026-08-07,22.22,15
2026-08-08,24.89,15
2026-08-09,27.59,15
2026-08-10,28.44,14
2026-08-11,26.04,14
2026-08-12,25.24,14
2026-08-13,25.54,14
2026-08-14,26.24,14
2026-08-15,28.71,14
2026-08-16,27.54,14
2026-08-17,18.81,14
2026-08-18,18.57,14
2026-08-19,24.33,14
2026-08-20,22.16,14
2026-08-21,17.91,14
2026-08-22,17.07,14
2026-08-23,17.74,14
2026-08-24,19.17,14
2026-08-25,15.71,14
2026-08-26,21.94,14
2026-08-27,24.38,14
2026-08-28,22.59,14
2026-08-29,20.69,14
2026-08-30,22.62,13
2026-08-31,21.66,13
2026-09-01,20.38,13
2026-09-02,20.82,13
2026-09-03,21.92,13
2026-09-04,25.9,13
2026-09-05,19.17,13
2026-09-06,18.88,13
2026-09-07,21.66,13
2026-09-08,26.62,13
2026-09-09,15.78,13
2026-09-10,15.44,13
2026-09-11,16.46,13
2026-09-12,18.08,13
