date,daytime_temperature,daylight_hours_sampled
2026-01-01,-9.36,9
2026-01-02,-7.09,9
2026-01-03,-5.34,9
2026-01-04,-2.51,9
2026-01-05,3.62,9
2026-01-06,5.44,9
2026-01-07,3.18,9
2026-01-08,9.8,9
2026-01-09,6.24,9
2026-01-10,1.83,9
2026-01-11,-0.54,9
2026-01-12,1.6,9
2026-01-13,7.06,9
2026-01-14,-5.03,9
2026-01-15,-7.54,9
2026-01-16,0.18,9
2026-01-17,-9.98,9
2026-01-18,-10.29,9
2026-01-19,-16.2,9
2026-01-20,-10.68,9
2026-01-21,-2.29,9
2026-01-22,-6.66,9
2026-01-23,-21.34,9
2026-01-24,-17.28,9
2026-01-25,-7.83,9
2026-01-26,-16.11,9
2026-01-27,-10.82,9
2026-01-28,-12.51,10
2026-01-29,-12.71,10
2026-01-30,-8.38,10
2026-01-31,-5.41,10
2026-02-01,-6.82,10
2026-02-02,-3.26,10
2026-02-03,-4.33,10
2026-02-04,-4.48,11
2026-02-05,-4.55,11
2026-02-06,0.85,11
2026-02-07,-7.39,11
2026-02-08,-3.95,11
2026-02-09,-2.35,11
2026-02-10,5.12,11
2026-02-11,1.65,11
2026-02-12,0.33,11
2026-02-13,5.99,11
2026-02-14,4.92,11
2026-02-15,8.93,11
2026-02-16,11.0,11
2026-02-17,8.58,11
2026-02-18,13.99,11
2026-02-19,10.06,11
2026-02-20,0.55,11
2026-02-21,-1.57,11
2026-02-22,-3.72,11
2026-02-23,-4.35,11
2026-02-24,-0.39,11
2026-02-25,0.44,11
2026-02-26,1.27,11
2026-02-27,9.3,11
2026-02-28,0.68,11
2026-03-01,-2.32,11
2026-03-02,0.66,11
2026-03-03,1.84,11
2026-03-04,3.04,11
2026-03-05,6.3,11
2026-03-06,14.43,11
2026-03-07,12.37,11
2026-03-08,10.47,11
2026-03-09,16.5,11
2026-03-10,6.38,11
2026-03-11,2.73,11
2026-03-12,4.39,11
2026-03-13,6.09,11
2026-03-14,1.01,11
2026-03-15,12.81,11
2026-03-16,-3.76,11
2026-03-17,-6.8,12
2026-03-18,1.62,13
2026-03-19,7.06,13
2026-03-20,12.24,13
2026-03-21,13.79,13
2026-03-22,3.15,13
2026-03-23,1.48,13
2026-03-24,5.0,13
2026-03-25,14.15,13
2026-03-26,11.46,13
2026-03-27,1.48,13
2026-03-28,3.95,13
2026-03-29,12.36,13
2026-03-30,20.75,13
2026-03-31,16.27,13
2026-04-01,3.51,13
2026-04-02,13.78,13
2026-04-03,8.36,13
2026-04-04,10.43,13
2026-04-05,7.54,13
2026-04-06,8.09,13
2026-04-07,0.94,13
2026-04-08,12.18,13
2026-04-09,17.15,13
2026-04-10,7.32,13
2026-04-11,8.27,13
2026-04-12,21.65,13
2026-04-13,21.15,13
2026-04-14,21.76,13
2026-04-15,19.78,13
2026-04-16,17.68,13
2026-04-17,20.08,13
2026-04-18,9.2,13
2026-04-19,6.89,13
2026-04-20,8.45,13
2026-04-21,18.18,13
2026-04-22,14.3,14
2026-04-23,21.04,14
2026-04-24,19.31,14
2026-04-25,8.78,14
2026-04-26,11.02,14
2026-04-27,15.54,14
2026-04-28,13.92,14
2026-04-29,9.2,14
2026-04-30,8.03,14
2026-05-01,6.56,14
2026-05-02,8.61,14
2026-05-03,12.86,14
2026-05-04,18.89,14
2026-05-05,11.98,14
2026-05-06,11.86,14
2026-05-07,11.58,14
2026-05-08,13.96,14
2026-05-09,18.96,14
2026-05-10,13.2,14
2026-05-11,9.41,15
2026-05-12,17.7,15
2026-05-13,11.18,15
2026-05-14,14.09,15
2026-05-15,18.83,15
2026-05-16,24.36,15
2026-05-17,26.39,15
2026-05-18,23.96,15
2026-05-19,23.63,15
2026-05-20,12.69,15
2026-05-21,12.07,15
2026-05-22,14.78,15
2026-05-23,15.38,15
2026-05-24,17.85,15
2026-05-25,22.43,15
2026-05-26,23.73,15
2026-05-27,21.05,15
2026-05-28,16.21,15
2026-05-29,22.07,15
2026-05-30,18.59,15
2026-05-31,17.63,15
2026-06-01,16.83,15
2026-06-02,18.7,15
2026-06-03,21.55,15
2026-06-04,26.53,15
2026-06-05,22.23,15
2026-06-06,23.17,15
2026-06-07,21.25,15
2026-06-08,23.43,15
2026-06-09,26.77,15
2026-06-10,25.93,15
2026-06-11,24.26,15
