calendar_month,time,daytime_temperature,daytime_temperature_p10,daytime_temperature_p90,daylight_hours_sampled
1,Jan,26.87,24.1,29.2,403
2,Feb,27.25,24.33,29.37,364
3,Mar,28.94,25.18,32.7,399
4,Apr,29.42,25.79,32.1,360
5,May,29.88,25.91,33.29,372
6,Jun,30.91,27.1,34.1,345
7,Jul,31.54,27.5,34.2,341
8,Aug,31.07,26.9,34.0,357
9,Sep,31.51,26.7,35.1,204
