calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,61.51,18.35,119.05,354.42,333.26,380.48,20.57,16.6,26.05,64.19,50.0,77.0,9.0,44.5
2,2,Feb,43.2,11.15,84.5,312.85,289.63,327.79,20.15,16.1,24.8,65.6,53.0,77.0,8.5,40.3
3,3,Mar,46.88,18.7,68.65,305.26,289.56,324.94,18.64,15.2,22.95,67.53,55.0,80.0,6.9,38.1
4,4,Apr,57.41,20.2,94.8,254.7,235.27,270.45,15.5,12.5,19.41,72.17,59.0,84.0,3.9,32.4
5,5,May,55.31,34.4,84.2,233.21,217.15,244.7,12.28,9.7,15.45,76.37,65.0,87.0,1.8,25.5
6,6,Jun,58.43,24.5,86.2,208.42,188.19,229.61,9.96,7.7,12.3,80.9,72.0,90.0,0.4,19.5
7,7,Jul,53.36,33.8,72.45,214.48,195.2,232.75,9.63,7.4,11.8,79.11,70.0,88.5,-0.9,19.3
8,8,Aug,56.97,36.85,77.45,249.08,236.22,266.17,10.36,8.0,13.25,75.92,67.0,86.0,-1.7,22.2
9,9,Sep,63.72,31.4,97.05,278.06,255.67,302.21,12.25,9.5,15.8,71.83,60.9,82.0,1.4,27.5
10,10,Oct,76.22,30.35,129.2,308.6,272.49,340.59,14.38,11.15,18.9,69.33,56.0,81.0,2.3,32.7
11,11,Nov,83.44,42.8,134.4,323.23,305.16,343.9,16.47,12.5,21.8,68.4,54.9,80.0,5.9,41.1
12,12,Dec,62.38,33.25,102.35,364.16,333.28,389.77,18.48,14.5,23.65,65.26,53.0,78.0,6.1,43.7
