calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,94.57,30.9,179.55,335.09,318.13,349.69,22.66,19.9,25.3,75.7,66.0,85.0,12.6,42.0
2,2,Feb,103.23,34.8,172.8,291.79,261.53,323.45,22.35,20.3,24.5,75.94,66.0,85.9,13.8,39.2
3,3,Mar,127.91,50.3,263.8,298.07,261.52,324.21,21.22,19.0,23.5,76.63,65.0,86.0,11.7,37.5
4,4,Apr,79.08,20.5,164.15,281.36,255.7,306.37,18.38,15.9,20.7,75.64,63.0,86.0,7.9,33.5
5,5,May,63.74,14.95,139.25,271.73,241.3,291.81,15.15,12.8,17.65,73.67,58.0,87.0,6.0,26.6
6,6,Jun,65.98,17.9,123.95,248.75,222.03,272.11,12.72,10.49,14.9,74.79,61.0,88.0,2.4,22.2
7,7,Jul,57.46,11.4,139.05,275.56,248.95,297.13,12.23,10.2,14.6,70.87,56.0,85.5,1.1,24.6
8,8,Aug,56.61,12.6,91.85,284.76,267.17,305.04,13.09,11.05,15.4,68.34,53.0,84.0,3.0,29.2
9,9,Sep,48.01,17.6,87.3,313.32,295.41,334.55,15.59,12.8,18.7,66.35,48.0,82.0,4.9,34.0
10,10,Oct,62.17,21.8,133.5,327.39,288.33,363.67,17.84,14.95,21.2,69.04,51.0,83.5,8.0,38.2
11,11,Nov,86.72,23.75,159.4,325.66,283.34,375.86,19.57,16.5,22.81,72.19,55.9,85.0,9.7,38.2
12,12,Dec,63.81,21.5,119.85,357.83,331.15,388.23,21.29,18.25,24.65,72.25,60.0,84.0,12.1,40.5
