calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,13.12,0.1,39.6,302.01,288.88,314.76,16.09,12.8,19.45,45.24,27.0,70.0,0.8,32.2
2,2,Feb,9.84,0.0,24.15,288.4,265.26,304.91,17.61,13.31,21.8,42.39,22.1,67.0,-0.7,35.5
3,3,Mar,8.12,0.0,19.15,338.5,313.55,355.62,20.86,16.8,24.65,34.18,19.0,51.5,6.6,38.3
4,4,Apr,0.78,0.0,1.85,374.97,370.52,378.74,24.13,20.49,27.8,27.99,16.0,42.0,8.8,40.3
5,5,May,0.1,0.0,0.3,400.64,394.5,404.85,26.93,23.15,30.25,27.06,16.0,39.0,11.0,43.5
6,6,Jun,5.33,0.0,11.6,386.77,369.63,394.49,31.9,28.9,34.4,33.48,16.0,47.0,16.0,47.1
7,7,Jul,46.82,9.7,79.65,371.51,352.19,386.61,32.4,29.3,35.1,50.09,35.0,68.5,20.4,45.7
8,8,Aug,51.32,15.95,109.45,373.44,354.67,388.65,32.22,28.9,35.2,55.28,38.0,74.0,22.3,45.5
9,9,Sep,66.23,11.6,130.2,333.8,308.39,352.31,30.11,27.0,33.21,57.83,35.0,79.0,17.7,44.3
10,10,Oct,14.34,0.0,51.5,334.73,323.43,343.89,26.77,22.8,30.8,43.47,25.0,62.0,9.9,43.8
11,11,Nov,13.99,0.0,30.65,291.5,280.62,305.29,21.11,16.99,25.2,41.64,25.0,61.1,7.2,39.4
12,12,Dec,11.62,0.85,26.7,284.58,267.32,299.64,16.79,13.1,20.3,47.2,27.0,72.0,3.4,32.3
