calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,45.02,20.4,69.9,69.48,39.54,89.27,-1.78,-7.45,3.2,86.54,75.0,96.0,-19.2,10.7
2,2,Feb,34.47,19.3,52.5,118.2,87.39,150.52,-1.3,-6.99,3.0,84.15,73.0,94.0,-20.8,11.9
3,3,Mar,32.65,4.65,70.2,224.5,169.99,282.3,1.29,-3.45,5.8,77.41,62.0,92.0,-18.2,16.1
4,4,Apr,31.52,15.3,54.75,299.65,267.42,332.65,5.24,0.9,9.41,71.24,57.0,88.0,-10.2,22.1
5,5,May,49.66,22.15,79.0,388.13,339.73,435.82,10.72,5.95,15.45,69.47,55.0,86.0,-5.5,27.6
6,6,Jun,67.09,42.75,83.15,426.65,391.86,456.85,15.71,12.29,19.51,69.9,56.0,85.0,3.8,30.1
7,7,Jul,66.06,30.0,112.3,421.0,392.62,469.67,18.04,15.05,21.6,72.81,61.0,85.0,7.0,32.3
8,8,Aug,73.48,29.25,113.35,357.55,320.45,397.77,16.92,14.05,19.9,77.31,67.0,89.0,3.4,29.8
9,9,Sep,53.77,29.45,75.05,260.55,225.57,293.21,13.09,9.6,16.3,81.12,70.0,91.0,-0.4,25.3
10,10,Oct,57.96,36.15,91.05,164.49,131.89,197.54,7.8,3.55,12.0,84.36,74.0,94.5,-4.1,18.6
11,11,Nov,49.62,24.0,78.9,79.17,49.77,105.73,3.57,-1.33,8.0,89.1,79.0,97.0,-11.2,15.1
12,12,Dec,46.54,26.6,70.2,55.6,31.94,84.54,0.1,-6.25,5.2,88.47,79.0,98.0,-19.6,11.4
