calendar_month,time,daytime_temperature,daytime_temperature_p10,daytime_temperature_p90,daylight_hours_sampled
1,Jan,5.451780167264039,0.0,10.6,4185
2,Feb,6.785256114443931,0.4,11.770000000000028,4334
3,Mar,9.597869266883352,4.1,15.3,5538
4,Apr,12.5772238514174,6.6,19.0,6138
5,May,15.681416924374474,10.1,21.8,7114
6,Jun,19.307097222222218,13.690000000000008,25.9,7200
7,Jul,21.65949579831933,15.8,27.9,7140
8,Aug,21.48200924131763,15.9,27.6,6709
9,Sep,18.66379249291785,13.1,24.53000000000002,5648
10,Oct,14.678976930792377,9.6,19.7,4985
11,Nov,9.551347483901742,4.720000000000005,14.1,4193
12,Dec,6.541087932400316,0.8,11.4,3787
