calendar_month,time,daytime_temperature,daytime_temperature_p10,daytime_temperature_p90,daylight_hours_sampled
1,Jan,15.51,8.85,20.5,5456
2,Feb,19.71,12.6,25.7,4972
3,Mar,25.51,17.7,32.5,5944
4,Apr,31.86,23.6,38.5,6240
5,May,34.73,26.9,41.1,6703
6,Jun,34.68,28.1,40.9,6720
7,Jul,31.02,26.8,35.1,6589
8,Aug,30.01,26.6,33.4,6448
9,Sep,29.83,25.4,33.9,5944
10,Oct,28.07,21.4,32.9,5900
11,Nov,23.51,16.4,28.5,4952
12,Dec,17.7,10.4,23.4,5077
