calendar_month,time,daytime_temperature,daytime_temperature_p10,daytime_temperature_p90,daylight_hours_sampled
1,Jan,2.45,-2.2,7.5,4356
2,Feb,3.79,-2.4,10.1,4624
3,Mar,7.68,1.4,14.2,5892
4,Apr,11.31,4.5,18.7,6610
5,May,14.51,8.6,21.1,7540
6,Jun,19.29,13.2,25.8,7680
7,Jul,20.89,15.1,27.1,7894
8,Aug,20.96,14.84,27.7,6945
9,Sep,16.97,11.3,23.0,6011
10,Oct,12.58,7.1,18.3,5417
11,Nov,7.02,1.6,12.6,4428
12,Dec,3.44,-1.0,8.12,4089
