calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,61.99,15.75,142.75,283.2,261.61,306.02,20.4,15.7,24.1,71.65,58.5,84.0,3.3,28.3
2,2,Feb,56.48,28.7,93.9,284.25,274.39,297.81,21.77,17.21,24.5,72.99,59.0,84.0,6.8,30.4
3,3,Mar,60.42,18.65,133.65,328.66,313.8,340.25,22.57,18.9,25.2,68.3,55.0,81.0,7.7,31.5
4,4,Apr,75.53,22.25,125.4,353.55,341.83,367.16,24.5,22.49,26.4,70.31,59.0,82.0,12.4,35.4
5,5,May,127.72,34.3,208.9,364.19,333.39,392.9,25.94,24.3,27.5,73.36,62.0,84.0,16.8,36.2
6,6,Jun,189.06,79.35,352.7,320.67,289.01,361.1,27.17,25.8,28.7,79.17,70.0,86.1,20.7,33.9
7,7,Jul,132.44,81.35,194.1,354.07,331.65,372.93,28.01,26.7,29.2,78.14,71.0,84.0,22.6,34.3
8,8,Aug,157.43,98.15,213.05,339.43,310.34,358.06,28.19,27.1,29.4,78.33,71.0,85.0,22.7,34.5
9,9,Sep,189.92,134.9,279.2,301.18,283.22,318.63,27.26,26.2,28.4,80.76,73.0,87.0,19.2,33.1
10,10,Oct,134.96,58.45,264.75,297.99,259.48,320.61,25.86,24.2,27.5,76.38,64.0,86.0,12.5,33.2
11,11,Nov,81.51,24.8,173.6,276.91,258.24,289.21,23.64,20.69,26.2,73.59,62.0,84.0,9.0,30.2
12,12,Dec,68.31,17.45,136.5,281.2,258.13,299.69,22.0,17.55,24.9,73.74,61.0,86.0,5.1,30.1
