calendar_month,time,daytime_temperature,daytime_temperature_p10,daytime_temperature_p90,daylight_hours_sampled
1,Jan,17.92,12.0,23.7,5456
2,Feb,19.64,13.1,26.0,5002
3,Mar,22.82,16.98,28.2,6109
4,Apr,26.28,20.7,31.9,6240
5,May,29.17,24.7,34.0,6448
6,Jun,30.75,26.8,34.7,6240
7,Jul,30.26,26.5,34.2,6448
8,Aug,29.38,25.9,32.9,6448
9,Sep,28.35,24.8,31.8,5996
10,Oct,26.0,21.4,30.1,5952
11,Nov,23.57,18.6,28.1,5314
12,Dec,18.92,14.0,24.2,5456
