calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,111.07,27.1,208.5,278.62,265.76,293.21,13.48,11.0,15.7,72.77,60.0,84.0,3.7,25.8
2,2,Feb,75.35,32.3,107.6,262.0,245.3,275.69,13.91,11.2,16.4,71.92,57.0,84.0,2.0,28.8
3,3,Mar,47.49,8.65,100.85,327.4,297.79,349.22,16.1,13.3,19.8,69.44,54.0,83.0,4.4,34.2
4,4,Apr,28.49,0.5,54.9,352.89,337.83,369.16,18.82,15.8,22.6,68.07,50.0,83.0,9.2,39.4
5,5,May,8.64,0.5,25.15,392.4,381.51,400.74,22.17,19.4,25.4,67.01,51.0,79.0,11.4,41.6
6,6,Jun,2.46,0.15,5.15,396.46,394.38,399.59,24.8,22.9,26.8,71.12,62.9,79.0,15.2,43.4
7,7,Jul,0.64,0.0,1.8,409.83,407.27,412.26,26.9,25.6,28.2,72.79,67.0,79.0,19.2,40.3
8,8,Aug,0.74,0.0,2.05,387.55,384.51,390.78,27.61,26.6,28.6,72.18,67.0,77.0,20.5,38.3
9,9,Sep,2.04,0.4,4.1,343.65,342.59,344.81,26.46,25.2,27.8,70.3,62.0,77.0,18.7,37.7
10,10,Oct,13.62,1.2,29.95,329.62,318.9,337.33,23.78,21.3,26.1,68.21,55.0,79.0,13.8,38.4
11,11,Nov,54.36,7.15,107.55,282.17,272.32,294.72,19.72,16.4,23.01,67.73,47.0,83.0,8.6,34.0
12,12,Dec,97.3,26.65,153.75,261.83,236.39,278.5,15.5,13.1,18.05,70.34,56.0,84.0,5.2,29.7
