calendar_month,time,daytime_temperature,daytime_temperature_p10,daytime_temperature_p90,daylight_hours_sampled
1,Jan,-3.63,-11.5,2.3,3342
2,Feb,-3.15,-11.2,2.1,4113
3,Mar,-0.01,-5.7,4.5,5834
4,Apr,4.92,0.4,9.8,7064
5,May,11.11,5.7,17.2,8540
6,Jun,15.82,11.2,21.1,9023
7,Jul,18.91,14.3,24.1,8898
8,Aug,17.87,14.0,21.8,7684
9,Sep,13.77,9.4,17.6,6184
10,Oct,7.75,2.7,12.0,4992
11,Nov,3.54,-1.5,8.1,3631
12,Dec,-0.67,-7.9,4.4,3012
