calendar_month,time,daytime_temperature,daytime_temperature_p10,daytime_temperature_p90,daylight_hours_sampled
1,Jan,5.11,0.0,10.7,4464
2,Feb,6.66,0.4,12.3,4773
3,Mar,10.36,4.4,16.1,5876
4,Apr,13.71,7.4,20.2,6532
5,May,17.02,11.0,23.7,7391
6,Jun,21.75,15.3,28.7,7680
7,Jul,24.09,17.6,30.8,7567
8,Aug,23.93,17.3,31.3,7048
9,Sep,20.0,13.6,26.8,5927
10,Oct,15.31,9.6,21.2,5415
11,Nov,9.51,3.7,15.2,4743
12,Dec,6.32,1.0,11.8,4108
