calendar_month,time,daytime_temperature,daytime_temperature_p10,daytime_temperature_p90,daylight_hours_sampled
1,Jan,2.010051357300073,-3.9,7.7,4089
2,Feb,3.279705947872578,-3.1,9.2,4489
3,Mar,6.745451482479784,0.6,13.1,5936
4,Apr,11.408950111690247,4.8,18.6,6715
5,May,15.731941063420884,9.3,22.4,7805
6,Jun,19.944583333333334,13.6,26.4,8160
7,Jul,21.290989551321452,15.6,27.4,8135
8,Aug,21.520435741864315,15.7,28.0,7252
9,Sep,17.496395061728396,12.0,23.8,6075
10,Oct,12.304292497625829,7.3,17.4,5265
11,Nov,6.862549894341394,1.5,12.1,4259
12,Dec,3.5691964285714284,-1.8,8.8,3584
