calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,63.08,33.25,96.45,126.04,99.28,147.35,4.55,-0.1,9.0,86.89,79.0,94.0,-6.6,14.9
2,2,Feb,53.51,25.6,101.2,139.52,107.79,180.75,5.48,1.31,9.69,82.88,72.1,91.0,-10.3,17.4
3,3,Mar,47.04,17.05,89.6,215.48,164.04,264.47,7.06,3.3,10.7,79.43,70.0,88.0,-4.2,21.4
4,4,Apr,41.32,11.2,70.6,292.86,248.46,327.53,9.56,6.09,13.2,73.56,64.0,84.0,-3.1,26.0
5,5,May,53.87,22.65,81.95,323.14,291.9,341.43,12.87,9.25,16.8,72.74,62.0,83.0,0.2,28.5
6,6,Jun,59.24,22.3,105.75,337.22,278.61,387.25,16.24,12.8,20.0,72.13,62.0,83.0,5.7,32.0
7,7,Jul,59.35,23.3,88.55,349.51,317.21,391.07,18.32,15.3,21.7,70.39,59.0,81.0,8.9,37.9
8,8,Aug,62.29,30.95,101.8,308.79,267.15,343.11,17.71,15.05,20.7,73.74,64.0,84.0,7.0,33.8
9,9,Sep,54.6,27.4,77.9,247.7,212.96,275.33,15.26,11.9,18.41,77.87,69.0,86.0,4.1,31.4
10,10,Oct,73.12,21.25,117.0,187.01,164.09,221.22,12.17,9.05,15.45,83.06,74.0,90.0,-0.2,26.4
11,11,Nov,66.26,30.4,99.35,132.88,117.92,147.07,8.12,3.89,12.2,86.74,79.0,93.1,-5.0,17.3
12,12,Dec,63.86,33.05,88.3,109.31,81.05,133.95,6.16,0.95,10.6,87.69,80.0,94.0,-9.5,14.8
