calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,40.86,16.5,56.7,136.47,100.9,175.94,0.87,-3.9,5.55,80.54,67.0,93.0,-19.3,15.4
2,2,Feb,31.7,10.55,54.25,176.14,134.9,206.04,2.56,-2.89,8.29,74.71,59.0,89.0,-17.4,18.6
3,3,Mar,31.26,13.5,52.9,259.85,219.95,296.12,6.35,0.7,11.25,68.4,55.0,81.0,-12.4,22.3
4,4,Apr,48.91,28.1,64.5,300.77,261.18,344.97,11.04,5.79,16.1,65.32,51.0,79.0,-3.9,28.4
5,5,May,79.07,45.6,125.7,320.32,251.9,370.53,15.13,10.85,19.3,67.97,54.0,83.0,0.6,30.7
6,6,Jun,71.22,32.0,112.65,371.11,329.25,407.25,20.21,16.0,24.8,65.53,51.0,79.0,5.5,37.0
7,7,Jul,71.11,34.05,112.45,378.87,351.88,399.5,22.12,17.85,26.45,62.23,50.0,75.0,9.8,37.3
8,8,Aug,65.6,24.0,104.25,348.93,320.76,378.09,21.66,17.15,26.6,65.02,52.0,78.0,8.6,38.0
9,9,Sep,85.21,39.25,127.35,272.24,237.42,304.83,16.79,12.2,21.1,71.4,60.0,83.0,2.8,34.0
10,10,Oct,52.91,24.75,98.95,213.67,171.1,251.04,11.33,7.4,15.4,78.7,67.0,90.0,-2.3,26.3
11,11,Nov,41.48,17.5,64.5,152.3,127.63,177.38,6.17,1.2,10.91,83.33,71.0,93.0,-6.2,20.8
12,12,Dec,40.19,18.2,62.25,132.89,95.18,168.37,2.15,-1.95,6.2,83.27,70.0,95.0,-16.8,15.5
