calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,21.61,7.1,34.0,252.97,235.89,274.9,-3.32,-9.7,2.3,62.2,45.0,78.0,-36.5,18.1
2,2,Feb,29.93,14.55,49.65,254.7,240.69,269.79,-2.76,-10.49,4.89,61.29,43.0,78.9,-28.7,23.1
3,3,Mar,46.63,21.1,67.05,315.33,287.99,339.55,3.28,-3.5,9.6,56.16,35.0,78.0,-22.1,26.7
4,4,Apr,54.77,25.75,84.6,325.07,308.63,344.14,7.89,1.09,13.5,53.09,34.0,76.0,-19.5,30.7
5,5,May,88.54,48.55,126.45,361.26,322.59,389.86,12.78,6.7,18.2,58.11,36.5,81.5,-11.6,32.0
6,6,Jun,42.17,11.05,73.9,385.1,369.13,404.59,20.57,15.99,25.2,47.62,28.0,70.0,4.3,38.7
7,7,Jul,40.17,16.75,71.4,399.28,388.84,413.3,23.42,20.1,26.6,47.56,31.0,68.5,9.7,38.7
8,8,Aug,31.02,12.7,58.45,382.02,365.21,397.4,22.51,18.8,25.85,46.51,31.0,67.0,8.2,38.3
9,9,Sep,31.56,5.2,51.85,330.37,309.64,347.7,18.59,13.7,22.91,45.85,28.0,68.0,-2.7,37.2
10,10,Oct,31.6,13.35,53.8,299.01,282.93,311.57,10.33,3.8,16.4,50.91,33.0,73.5,-21.9,31.4
11,11,Nov,21.81,9.4,42.0,257.58,233.52,275.91,3.08,-3.42,9.91,54.23,37.0,74.0,-24.2,26.9
12,12,Dec,19.16,7.4,33.6,246.13,230.99,263.66,-1.56,-9.0,4.5,57.88,38.5,76.0,-30.2,22.7
