calendar_month,time,daytime_temperature,daytime_temperature_p10,daytime_temperature_p90,daylight_hours_sampled
1,Jan,7.156224290972071,1.7,11.9,4619
2,Feb,9.145072332730562,3.0,15.2,4424
3,Mar,11.84257337151038,5.5,19.1,5588
4,Apr,14.93309941520468,8.0,22.5,5985
5,May,19.422759433962263,11.6,27.4,6784
6,Jun,24.34802962962963,15.9,32.5,6750
7,Jul,28.92085916740478,20.7,35.7,6774
8,Aug,28.57174593241552,20.5,35.3,6392
9,Sep,23.02983942121052,16.1,29.7,5667
10,Oct,17.776539589442816,11.2,24.8,5115
11,Nov,11.465726534296028,6.210000000000003,16.5,4432
12,Dec,8.189988052568697,3.0,12.6,4185
