calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,60.21,13.55,136.1,273.45,246.06,297.38,12.89,10.5,15.2,71.42,53.0,87.0,2.0,30.0
2,2,Feb,52.51,10.05,118.5,265.86,234.17,285.46,13.2,10.3,16.0,71.9,51.0,86.0,1.9,30.3
3,3,Mar,52.8,23.45,107.75,324.35,297.81,348.17,14.16,11.9,16.8,76.14,62.0,87.0,4.0,31.7
4,4,Apr,21.12,2.25,45.2,337.82,308.92,359.83,15.66,13.5,18.01,73.15,61.0,84.0,6.0,33.0
5,5,May,12.14,1.35,33.65,360.16,317.59,405.61,16.76,15.1,18.55,73.43,66.0,80.0,9.2,34.9
6,6,Jun,1.59,0.0,6.25,373.32,317.57,414.87,18.41,16.7,20.3,76.78,72.0,81.0,11.4,33.2
7,7,Jul,3.86,0.0,13.0,395.27,368.28,426.46,20.56,18.4,22.7,77.62,74.0,81.5,13.2,35.8
8,8,Aug,6.78,0.0,17.95,371.96,341.22,399.0,21.47,19.15,23.7,78.12,74.0,82.0,13.1,32.6
9,9,Sep,10.93,0.15,31.6,331.21,311.8,354.72,21.34,18.69,24.3,77.2,69.0,84.0,12.3,36.6
10,10,Oct,15.2,1.25,38.05,312.33,292.31,332.45,19.18,16.5,21.95,73.28,56.0,85.0,8.6,34.2
11,11,Nov,32.23,2.55,88.1,281.03,263.67,295.58,15.93,13.3,18.81,68.19,42.0,86.0,4.6,32.5
12,12,Dec,57.04,6.65,126.1,257.72,235.95,281.54,13.23,10.5,15.6,71.7,50.0,88.0,3.5,26.9
