calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temp_min_mean,temperature_2m_max_absolute,temp_max_mean,temperature_2m_mean_min,temperature_2m_mean_max
1,1,Jan,68.48000000000002,46.0,95.58,101.92281000000001,84.84759611111112,117.08615222222222,3.98236559139785,-1.3599999999999994,9.2,86.25806451612904,78.0,93.0,-9.4,1.563225806451613,15.0,6.476774193548387,-9.4,15.0
2,2,Feb,57.113333333333344,22.5,100.01999999999998,135.92112611111114,100.09312944444444,170.9076338888889,4.878773584905661,-0.2,9.3,81.22169811320755,70.0,91.0,-10.3,2.017688679245283,17.9,8.05683962264151,-10.3,17.9
3,3,Mar,57.90666666666667,20.520000000000003,86.7,213.88001462962964,154.56148888888887,252.99041222222223,6.96752688172043,2.8400000000000003,10.7,77.6774193548387,68.0,88.0,-9.4,3.2169892473118282,22.3,11.07505376344086,-9.4,22.3
4,4,Apr,43.11333333333334,18.02,84.41999999999999,288.09952444444446,245.45812444444445,323.3927733333333,9.779111111111112,5.6,14.3,72.79555555555555,62.0,83.0,-3.5,5.1722222222222225,25.6,14.436,-3.5,25.6
5,5,May,61.25333333333334,27.880000000000006,102.7,320.58720018518517,292.60673833333334,356.4148511111111,13.203440860215053,9.440000000000001,17.4,73.13978494623656,62.0,84.0,0.5,8.706236559139786,28.7,17.644086021505377,0.5,28.7
6,6,Jun,61.71333333333333,25.060000000000002,97.67999999999999,326.2570587037037,279.27503333333334,360.66213944444445,16.82488888888889,13.4,20.91,72.48222222222222,61.0,84.0,4.1,12.29688888888889,32.6,21.23111111111111,4.1,32.6
7,7,Jul,58.760000000000005,18.419999999999998,98.67999999999999,338.2618227777778,305.92127444444446,375.433695,18.586021505376344,15.4,22.2,71.65376344086022,61.0,82.0,6.9,14.198924731182796,38.1,22.881720430107528,6.9,38.1
8,8,Aug,72.10666666666667,38.9,109.2,312.30593685185175,287.85085444444445,339.8187883333333,18.441505376344086,15.540000000000001,21.860000000000003,73.54623655913979,64.0,82.0,8.7,14.31978494623656,35.0,22.749892473118276,8.7,35.0
9,9,Sep,56.486666666666665,27.720000000000002,92.45999999999998,251.58713648148148,234.04205055555556,271.51547666666664,15.787333333333331,12.39,19.5,76.7688888888889,68.0,85.10000000000002,3.2,11.91688888888889,32.0,20.059777777777782,3.2,32.0
10,10,Oct,75.05999999999997,32.18,123.82,187.78177,163.2824,214.03335833333333,12.424731182795698,8.8,16.26,81.53333333333333,73.0,89.0,-0.2,9.34236559139785,25.8,15.88774193548387,-0.2,25.8
11,11,Nov,69.28,35.18,96.68,120.74563296296294,101.26875555555556,137.23812999999998,7.880222222222223,3.8,12.010000000000002,86.43777777777778,79.0,93.0,-4.5,5.4028888888888895,19.9,10.581999999999999,-4.5,19.9
12,12,Dec,74.56666666666666,43.18,108.56,96.01399203703704,69.99017833333333,122.65475277777777,5.402150537634409,-0.059999999999999436,9.9,87.49462365591398,79.0,94.0,-7.0,3.139784946236559,16.5,7.72258064516129,-7.0,16.5
