calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute,temperature_2m_mean_min,temperature_2m_mean_max
1,1,Jan,63.72666666666667,14.96,143.5,265.2691237037037,244.77177,283.82401500000003,20.473333333333333,15.7,24.1,71.58494623655913,58.400000000000006,84.0,3.2,28.3,3.2,28.3
2,2,Feb,58.14666666666667,29.360000000000003,94.14,272.38306962962963,262.7091761111111,286.0621966666667,21.669811320754718,17.1,24.5,72.88679245283019,59.0,84.0,6.7,30.3,6.7,30.3
3,3,Mar,60.54666666666667,18.48,133.94,322.21021407407414,307.99782555555555,334.61167,22.571397849462368,18.740000000000002,25.2,68.39354838709677,55.0,81.0,7.7,31.5,7.7,31.5
4,4,Apr,79.00000000000001,25.880000000000003,126.05999999999999,335.38060666666667,325.31327111111113,345.90734,24.489555555555555,22.490000000000002,26.4,70.66444444444444,59.900000000000006,82.0,12.4,35.3,12.4,35.3
5,5,May,128.67333333333335,32.14,219.73999999999998,352.3946105555555,319.68950944444447,381.1708105555556,25.83741935483871,24.3,27.3,73.59139784946237,62.0,84.0,16.8,36.2,16.8,36.2
6,6,Jun,188.39333333333332,78.48,356.97999999999996,315.7136387037037,284.556755,355.6682427777778,27.120444444444445,25.8,28.6,79.55111111111111,71.0,87.0,20.6,33.9,20.6,33.9
7,7,Jul,132.39999999999998,80.0,194.2,347.8467075925926,325.53898,367.00582,27.995913978494624,26.8,29.160000000000004,78.21505376344086,71.0,84.0,22.5,34.2,22.5,34.2
8,8,Aug,157.80666666666667,96.58,214.02,322.4689677777777,295.94899166666664,340.47745944444443,28.146451612903228,27.040000000000003,29.3,78.59784946236559,72.0,85.0,22.7,34.5,22.7,34.5
9,9,Sep,185.24666666666664,133.04000000000002,280.28,292.0741457407407,275.36578333333335,307.65981166666666,27.296000000000003,26.2,28.41,80.44666666666667,73.0,86.0,19.2,33.1,19.2,33.1
10,10,Oct,133.70666666666665,57.88,267.36,281.7733027777778,247.3418961111111,303.99406055555556,25.854193548387098,24.2,27.5,76.35268817204302,64.0,86.0,12.5,33.1,12.5,33.1
11,11,Nov,84.82666666666667,24.66,181.32,270.8512161111111,253.12124055555557,283.363,23.647999999999996,20.69,26.2,73.95777777777778,62.0,84.0,9.0,30.1,9.0,30.1
12,12,Dec,69.96666666666667,16.340000000000003,139.51999999999998,266.50933296296296,245.17755888888888,284.24140222222223,21.966236559139784,17.4,24.9,73.63225806451612,60.0,85.0,5.1,30.0,5.1,30.0
