calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute,temperature_2m_mean_min,temperature_2m_mean_max
1,1,Jan,72.66000000000001,28.599999999999998,123.56,68.58213814814813,49.24044611111111,94.26694333333333,-3.9359139784946233,-11.459999999999999,2.4,85.60860215053764,75.0,96.0,-28.0,10.0,-28.0,10.0
2,2,Feb,63.733333333333334,24.840000000000003,97.13999999999999,118.39046203703703,89.22782722222222,152.41447222222223,-2.364858490566038,-8.87,2.7,83.76886792452831,71.0,96.69999999999999,-22.0,11.5,-22.0,11.5
3,3,Mar,55.68,15.440000000000001,94.53999999999999,218.24745555555552,193.22995,260.80415944444445,0.9621505376344087,-3.7599999999999993,5.060000000000002,78.1010752688172,64.0,93.0,-15.3,18.5,-15.3,18.5
4,4,Apr,52.86666666666667,14.680000000000001,97.88,296.0145794444444,263.007995,332.51449722222225,5.683333333333334,1.9900000000000007,9.6,69.37333333333333,51.0,90.0,-8.7,21.7,-8.7,21.7
5,5,May,80.16666666666667,45.980000000000004,117.82,349.935261111111,297.8441016666667,399.14348777777775,11.463655913978496,6.5,17.1,68.74408602150538,49.0,89.0,-1.7,30.4,-1.7,30.4
6,6,Jun,94.42666666666666,55.64,143.48,380.42828333333335,331.41928277777777,417.642565,15.850666666666667,12.5,19.9,69.69777777777777,49.0,88.10000000000002,4.9,30.9,4.9,30.9
7,7,Jul,116.41333333333336,64.68,188.46,371.03328000000005,325.62990722222224,430.4052255555556,17.629677419354838,14.6,21.2,73.52043010752688,56.400000000000006,89.60000000000002,8.6,32.8,8.6,32.8
8,8,Aug,114.27333333333334,52.0,160.42000000000002,305.44349129629626,273.1523177777778,335.03654222222224,16.136129032258065,14.0,18.7,80.07956989247312,67.0,92.0,7.4,28.4,7.4,28.4
9,9,Sep,110.89333333333333,46.300000000000004,163.42,221.36504870370374,192.10213777777778,249.480275,12.751333333333335,9.790000000000001,15.8,81.44222222222223,68.0,94.0,1.5,25.8,1.5,25.8
10,10,Oct,102.82000000000001,41.52,178.7,140.98117648148144,125.53684444444445,163.80359666666666,7.312043010752688,3.5400000000000005,11.3,86.65806451612903,73.0,97.60000000000002,-3.8,19.8,-3.8,19.8
11,11,Nov,88.54666666666667,33.86,138.18,65.82675037037036,35.08150777777778,93.40937222222222,2.65,-2.2,7.3,89.76444444444445,75.9,99.0,-14.1,15.0,-14.1,15.0
12,12,Dec,74.08,20.500000000000004,114.83999999999999,46.43654685185185,31.488678333333336,63.89850833333333,-1.926236559139785,-8.819999999999999,3.1,88.69032258064516,76.4,98.60000000000002,-24.0,9.6,-24.0,9.6
