calendar_month,time,daytime_temperature,daytime_temperature_p10,daytime_temperature_p90,daylight_hours_sampled
1,Jan,-2.82,-11.9,4.5,4532
2,Feb,-1.73,-11.1,6.9,4920
3,Mar,4.48,-2.6,13.3,5935
4,Apr,9.79,3.0,18.0,6388
5,May,16.05,8.4,24.5,7277
6,Jun,22.19,15.6,28.8,7200
7,Jul,24.74,19.6,30.1,7440
8,Aug,24.26,19.7,29.0,6810
9,Sep,20.83,14.9,27.2,5984
10,Oct,14.23,7.4,21.7,5464
11,Nov,6.3,-1.2,14.2,4800
12,Dec,1.01,-6.9,7.9,4486
