calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,75.12,49.35,96.35,115.63,105.17,129.93,3.97,-1.1,8.35,86.08,78.0,94.0,-9.8,14.8
2,2,Feb,67.08,30.95,124.95,146.84,102.8,177.16,4.32,-0.99,8.8,82.98,72.0,92.0,-12.7,17.4
3,3,Mar,51.75,20.4,92.0,240.28,200.7,294.43,6.31,2.3,10.05,79.83,69.5,89.0,-8.1,22.0
4,4,Apr,53.18,24.3,103.2,311.21,273.94,338.87,9.3,5.7,13.41,76.18,66.0,86.0,-2.9,25.7
5,5,May,65.93,28.95,109.4,348.82,308.7,381.14,12.85,8.8,17.3,76.08,66.0,86.0,1.0,29.2
6,6,Jun,71.54,28.5,119.45,353.23,318.12,391.8,16.24,13.0,20.0,76.52,68.0,85.0,7.2,31.5
7,7,Jul,88.84,37.25,142.5,366.34,342.49,399.79,17.92,15.0,21.05,77.1,68.0,86.0,8.8,36.3
8,8,Aug,82.15,38.0,117.35,339.58,309.17,364.81,17.92,15.3,20.9,78.64,70.5,86.0,8.9,33.1
9,9,Sep,71.97,31.0,115.7,267.75,242.75,282.17,15.37,12.1,18.8,80.69,72.9,88.0,3.1,30.2
10,10,Oct,93.51,40.45,160.7,191.43,166.96,212.69,12.05,8.9,15.5,83.69,75.0,91.0,0.6,25.1
11,11,Nov,70.48,39.4,100.7,127.88,107.62,147.4,7.6,3.19,11.61,86.95,78.9,94.0,-5.5,18.6
12,12,Dec,78.07,36.0,115.45,96.67,77.29,116.97,5.44,0.1,9.55,87.18,78.5,95.0,-7.7,15.3
