calendar_month,time,daytime_temperature,daytime_temperature_p10,daytime_temperature_p90,daylight_hours_sampled
1,Jan,16.17,12.0,19.7,5808
2,Feb,16.32,12.3,19.7,5424
3,Mar,16.01,12.2,19.4,6120
4,Apr,15.62,11.8,18.9,6240
5,May,15.52,11.8,18.4,6448
6,Jun,15.26,11.5,18.3,6240
7,Jul,15.09,11.1,18.4,6448
8,Aug,15.69,11.3,19.2,6448
9,Sep,16.35,11.2,19.9,5845
10,Oct,15.87,11.2,19.3,5952
11,Nov,15.53,11.1,18.7,5760
12,Dec,15.82,11.1,19.2,5812
