calendar_month,time,daytime_temperature,daytime_temperature_p10,daytime_temperature_p90,daylight_hours_sampled
1,Jan,26.45,22.9,29.0,5508
2,Feb,26.52,23.2,28.9,5424
3,Mar,27.07,24.0,29.6,5952
4,Apr,27.43,24.0,30.1,6200
5,May,27.92,24.8,30.5,6448
6,Jun,28.66,25.4,31.2,6240
7,Jul,29.1,25.6,31.8,6448
8,Aug,29.0,25.6,31.8,6448
9,Sep,28.49,25.2,31.2,6168
10,Oct,27.93,25.2,30.2,5620
11,Nov,27.25,24.6,29.4,5280
12,Dec,26.7,23.6,29.0,5456
