calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute,temperature_2m_mean_min,temperature_2m_mean_max
1,1,Jan,58.43333333333333,34.52,89.93999999999998,100.15332574074074,73.21046722222222,118.9942111111111,4.495913978494624,-0.8,9.560000000000002,86.30537634408603,78.0,93.0,-6.8,15.3,-6.8,15.3
2,2,Feb,51.51333333333333,15.660000000000004,94.65999999999998,139.46114648148148,110.85020055555556,167.4755172222222,5.3577830188679245,0.1,9.7,80.41981132075472,69.0,90.0,-8.4,18.9,-8.4,18.9
3,3,Mar,58.760000000000005,24.98,99.63999999999999,218.91097074074077,178.25730055555556,250.45289,7.853118279569892,3.9,11.7,76.28817204301075,65.0,86.0,-10.5,23.9,-10.5,23.9
4,4,Apr,47.580000000000005,18.900000000000002,79.22,286.6168562962963,249.5790388888889,319.45628055555557,10.820666666666668,6.59,15.410000000000002,70.98444444444445,59.0,82.0,-2.4,26.8,-2.4,26.8
5,5,May,69.73333333333333,32.08,115.19999999999999,323.88562796296293,284.75943555555557,351.16315166666664,14.263010752688173,10.64,18.5,71.34623655913978,59.0,84.0,1.9,30.7,1.9,30.7
6,6,Jun,69.91333333333334,47.56,94.66,324.89212555555554,279.7377822222222,365.0371144444444,18.188000000000002,14.59,22.4,70.04,57.0,83.0,6.1,36.1,6.1,36.1
7,7,Jul,54.720000000000006,20.88,99.86,345.61172055555556,309.63686,395.97644722222225,20.319999999999997,16.6,24.3,65.36774193548388,52.400000000000006,79.0,8.5,40.8,8.5,40.8
8,8,Aug,63.779999999999994,19.520000000000003,114.16,320.0923788888889,295.37196666666665,347.91970833333335,19.951397849462367,16.3,23.9,67.49032258064516,54.0,80.0,7.6,37.7,7.6,37.7
9,9,Sep,53.08,23.0,79.88,259.85948037037036,231.65440833333335,284.3362422222222,16.898666666666667,13.09,20.9,72.44222222222223,59.0,83.0,4.3,34.1,4.3,34.1
10,10,Oct,67.52000000000001,31.580000000000002,98.06,190.40547037037038,151.75386722222223,218.25455499999998,13.094623655913978,9.3,17.0,80.59784946236559,71.0,89.0,-0.8,27.5,-0.8,27.5
11,11,Nov,61.27333333333333,27.46,95.44,123.7165585185185,98.49460555555555,140.99198,8.334666666666667,4.1,12.4,86.08222222222223,79.0,93.0,-4.0,20.8,-4.0,20.8
12,12,Dec,77.62666666666668,41.3,110.03999999999999,97.70743092592592,61.46494666666667,130.83464222222221,5.712903225806452,0.1,10.5,87.77849462365592,80.0,94.0,-7.9,16.1,-7.9,16.1
