calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute,temperature_2m_mean_min,temperature_2m_mean_max
1,1,Jan,73.03999999999999,31.759999999999998,116.84,139.0274598148148,115.24750555555556,167.14984833333335,3.92494623655914,-0.5,8.8,84.38064516129032,75.0,92.0,-13.1,17.2,-13.1,17.2
2,2,Feb,54.67999999999999,19.12,94.39999999999999,183.93143833333338,155.2538488888889,208.38651777777778,5.04433962264151,0.3,9.4,78.17688679245283,68.0,88.0,-9.8,19.1,-9.8,19.1
3,3,Mar,65.01333333333334,34.26,104.5,260.8728253703704,226.9185488888889,295.8333572222222,8.478279569892475,4.74,12.3,73.24731182795699,62.0,84.0,-3.7,24.3,-3.7,24.3
4,4,Apr,65.97999999999999,35.66,119.07999999999998,294.30362833333334,254.85413222222223,322.24707277777776,12.063777777777778,7.49,16.3,67.21333333333334,52.0,80.0,-1.2,27.1,-1.2,27.1
5,5,May,100.04666666666667,48.46,154.11999999999998,319.669637962963,280.2118088888889,363.89063999999996,15.593118279569891,11.3,20.26,68.9505376344086,54.0,83.0,3.1,31.1,3.1,31.1
6,6,Jun,79.6,46.800000000000004,114.34,359.32665203703704,327.8300077777778,388.73974166666665,20.40133333333333,16.1,24.91,65.59333333333333,49.900000000000006,80.0,8.2,37.0,8.2,37.0
7,7,Jul,74.78666666666666,29.540000000000003,156.2,381.1264583333334,341.9622188888889,414.35424333333333,22.6705376344086,18.4,26.9,61.21935483870968,44.0,76.0,10.5,38.8,10.5,38.8
8,8,Aug,62.62,35.18,82.86,357.16484518518513,342.3377677777778,371.6082361111111,22.313333333333333,17.8,27.0,62.380645161290325,48.0,75.0,10.3,41.1,10.3,41.1
9,9,Sep,71.70666666666666,34.14,120.94,284.8969783333333,258.573295,309.40220388888883,18.32133333333334,13.8,23.2,68.62222222222222,54.0,81.0,5.8,34.0,5.8,34.0
10,10,Oct,97.1,60.78,138.35999999999999,222.04882944444444,192.3993361111111,250.220195,13.897419354838709,9.3,18.3,78.49677419354839,68.0,88.0,0.3,28.0,0.3,28.0
11,11,Nov,95.70666666666668,40.56,156.9,162.93950685185186,141.1923011111111,194.56233444444445,8.312888888888889,3.5,13.1,85.24888888888889,77.0,93.0,-4.5,20.4,-4.5,20.4
12,12,Dec,83.50666666666667,37.900000000000006,111.02,137.19262759259257,101.47159833333333,187.14802277777778,5.110967741935483,0.8,9.9,86.5741935483871,78.4,94.0,-9.8,17.1,-9.8,17.1
