calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,78.99,37.8,122.55,142.8,107.77,162.37,0.24,-4.8,5.0,81.31,71.0,91.0,-20.8,16.5
2,2,Feb,53.92,20.35,84.4,174.78,139.44,195.89,1.37,-4.7,7.09,76.71,62.0,88.0,-22.1,18.1
3,3,Mar,55.03,31.9,70.85,254.03,228.37,282.95,4.93,-0.0,9.3,72.89,61.0,85.0,-13.2,21.7
4,4,Apr,59.09,33.85,98.35,294.55,251.74,351.27,9.0,3.39,14.0,70.42,58.0,84.0,-8.0,28.0
5,5,May,119.35,77.2,167.5,308.92,255.37,362.69,12.75,8.35,17.1,73.96,61.0,87.0,-0.2,29.8
6,6,Jun,121.17,51.0,183.05,342.65,296.83,392.01,17.48,13.2,21.8,73.07,59.0,86.0,5.2,33.5
7,7,Jul,110.01,57.8,162.45,366.67,331.75,394.36,19.04,15.1,23.0,71.45,58.0,84.0,7.4,35.2
8,8,Aug,115.86,76.0,182.45,328.22,292.95,358.7,18.72,14.4,23.2,74.44,63.0,85.5,6.7,33.5
9,9,Sep,91.18,60.15,134.75,263.23,233.82,303.09,14.37,10.1,18.6,79.58,70.0,88.0,1.5,30.0
10,10,Oct,67.91,42.0,94.05,208.17,182.52,232.99,10.05,5.7,14.3,82.17,73.0,91.0,-4.4,26.7
11,11,Nov,61.48,29.7,76.6,155.05,125.08,190.6,4.65,-0.1,9.3,84.94,74.0,94.0,-11.8,19.8
12,12,Dec,70.89,23.55,112.85,134.19,105.99,178.52,1.5,-2.5,6.4,83.29,72.0,93.0,-17.0,16.4
