calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute,temperature_2m_mean_min,temperature_2m_mean_max
1,1,Jan,15.706666666666667,1.2400000000000002,35.13999999999999,305.336712037037,280.96277944444444,318.68136,13.094623655913978,11.0,15.0,56.33763440860215,42.0,73.60000000000002,0.5,27.8,0.5,27.8
2,2,Feb,21.046666666666667,2.84,40.61999999999999,292.41346259259257,279.11433,301.1630233333333,15.038443396226416,12.13,17.4,49.860849056603776,32.0,67.0,1.5,29.9,1.5,29.9
3,3,Mar,23.486666666666668,2.4800000000000004,53.21999999999999,341.27474092592587,329.30150833333335,348.02365444444445,16.845376344086024,14.4,19.2,46.318279569892475,30.0,63.0,-1.3,32.7,-1.3,32.7
4,4,Apr,36.913333333333334,9.740000000000002,75.38,342.26432277777786,337.2225311111111,347.97017,18.373555555555555,16.1,20.4,45.864444444444445,29.0,63.0,5.8,31.9,5.8,31.9
5,5,May,135.74666666666667,19.98,331.12,355.834145,328.1521994444444,371.6306122222222,18.91741935483871,16.4,21.4,53.69892473118279,33.0,75.20000000000005,4.9,34.5,4.9,34.5
6,6,Jun,258.24,115.22,395.7,315.1594216666666,281.3094072222222,336.42751444444445,17.80088888888889,15.6,20.9,67.31333333333333,43.900000000000006,86.0,8.0,34.8,8.0,34.8
7,7,Jul,284.62,155.0,418.91999999999996,319.4746194444444,283.1590638888889,346.76777944444444,16.322795698924732,15.0,17.9,77.61935483870968,66.0,87.0,8.7,27.8,8.7,27.8
8,8,Aug,290.1933333333334,188.20000000000002,409.56,316.5944842592593,298.765055,332.30282666666665,16.350752688172044,15.2,17.5,77.94623655913979,69.0,87.0,8.3,26.3,8.3,26.3
9,9,Sep,322.6333333333333,174.68,467.1,282.17883277777776,253.45101055555557,304.71238555555556,15.991999999999999,14.6,17.5,78.91111111111111,69.0,89.0,5.7,27.4,5.7,27.4
10,10,Oct,121.86666666666665,47.940000000000005,180.35999999999999,307.8497972222222,292.64434555555556,330.3839072222222,15.239569892473117,13.2,17.2,72.93763440860215,59.0,85.0,3.0,27.9,3.0,27.9
11,11,Nov,37.7,9.8,80.24,302.5318196296296,291.22506055555556,312.83978277777777,14.369333333333334,12.3,16.5,65.96,48.0,83.0,-1.6,28.0,-1.6,28.0
12,12,Dec,7.4799999999999995,0.54,15.76,307.69658685185186,299.47985111111115,315.999405,13.557634408602153,11.5,15.2,59.39354838709677,44.0,76.0,-1.1,25.9,-1.1,25.9
