calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,38.98,12.85,64.55,265.3,249.18,285.09,3.12,-1.8,7.3,55.33,39.0,75.0,-18.0,18.8
2,2,Feb,42.05,18.9,59.75,257.65,231.55,283.84,4.47,-1.3,9.4,56.28,39.0,75.0,-16.7,20.8
3,3,Mar,54.74,32.35,78.1,305.59,274.34,327.89,10.25,5.05,15.15,50.29,29.0,70.0,-11.8,31.5
4,4,Apr,37.41,18.4,61.65,334.4,302.53,360.88,16.66,11.79,22.3,42.37,23.0,63.0,-2.6,33.8
5,5,May,15.9,5.95,35.1,375.04,361.99,386.74,23.04,18.4,27.8,31.14,17.0,48.0,7.5,38.1
6,6,Jun,2.42,0.0,5.5,387.19,378.99,392.73,29.32,25.79,32.4,20.41,12.0,31.0,12.8,42.4
7,7,Jul,1.49,0.0,3.55,399.65,393.43,406.22,32.04,29.2,34.8,20.86,13.0,31.0,16.2,42.0
8,8,Aug,4.39,0.0,7.6,394.47,388.0,401.36,30.44,27.5,33.4,21.53,14.0,31.0,10.7,43.2
9,9,Sep,2.89,0.0,8.35,340.21,335.45,344.61,26.16,22.49,29.71,23.99,13.0,36.0,11.2,38.8
10,10,Oct,21.51,1.05,46.85,317.9,299.38,331.71,18.85,13.95,23.3,35.78,20.0,57.0,3.1,32.6
11,11,Nov,43.24,7.05,75.55,252.59,217.6,275.82,9.91,4.69,15.2,54.71,31.0,79.0,-10.4,25.3
12,12,Dec,36.94,7.2,65.2,247.71,228.46,267.66,4.84,-0.35,9.7,56.45,37.0,75.5,-11.5,20.3
