calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,71.08,29.3,111.1,128.14,107.24,151.06,5.74,2.25,9.25,83.67,75.0,91.0,-4.2,15.2
2,2,Feb,67.59,26.9,112.7,152.74,120.95,183.67,6.37,3.1,9.99,80.79,72.0,89.0,-2.8,14.4
3,3,Mar,67.93,25.4,122.35,231.12,183.15,271.32,7.08,3.8,10.2,79.77,71.0,88.0,-2.9,16.5
4,4,Apr,63.72,25.35,110.45,286.21,232.99,326.52,8.83,6.19,11.51,78.33,70.0,87.1,-1.0,19.3
5,5,May,64.01,33.35,109.65,343.18,304.43,384.36,11.7,8.9,14.5,77.0,67.5,87.0,0.7,22.1
6,6,Jun,79.24,30.85,127.25,340.06,290.01,374.82,14.4,11.8,17.01,77.08,68.0,86.0,5.0,25.2
7,7,Jul,81.07,48.0,131.45,318.51,281.37,354.8,16.1,13.9,18.45,77.81,70.0,86.0,8.1,27.3
8,8,Aug,77.3,44.55,118.6,307.29,284.73,337.5,15.71,13.75,17.85,78.5,70.5,87.0,7.8,25.8
9,9,Sep,81.12,40.95,134.4,245.12,221.94,279.84,13.97,11.4,16.5,80.64,73.0,89.0,3.6,23.1
10,10,Oct,91.28,48.85,129.55,188.0,153.99,219.68,11.66,9.0,14.4,81.65,73.0,89.0,1.1,22.1
11,11,Nov,90.46,39.2,146.65,140.32,116.29,166.9,8.44,4.8,12.2,83.89,77.0,91.0,-4.2,16.7
12,12,Dec,85.65,56.6,110.95,112.48,89.93,133.99,6.81,3.1,10.7,84.17,76.0,92.0,-7.4,14.6
